,0,1,2,3,4,5,6,7,8,9,10
0,"z-test(1798): z-value: 0.000, p-value:1.000","z-test(1798): z-value: -3.565, p-value:0.000","z-test(1798): z-value: -3.957, p-value:0.000","z-test(1798): z-value: -3.547, p-value:0.000","z-test(1798): z-value: -2.702, p-value:0.007","z-test(1798): z-value: -1.436, p-value:0.151","z-test(1798): z-value: -3.235, p-value:0.001","z-test(1798): z-value: -3.257, p-value:0.001","z-test(1798): z-value: -1.630, p-value:0.103","z-test(1798): z-value: -2.809, p-value:0.005","z-test(7178): z-value: -1.432, p-value:0.152"
1,"z-test(1798): z-value: 3.565, p-value:0.000","z-test(1798): z-value: 0.000, p-value:1.000","z-test(1798): z-value: -0.515, p-value:0.606","z-test(1798): z-value: 0.191, p-value:0.848","z-test(1798): z-value: 1.463, p-value:0.144","z-test(1798): z-value: 3.970, p-value:0.000","z-test(1798): z-value: 0.820, p-value:0.412","z-test(1798): z-value: 0.951, p-value:0.341","z-test(1798): z-value: 3.622, p-value:0.000","z-test(1798): z-value: 1.017, p-value:0.309","z-test(7178): z-value: 5.146, p-value:0.000"
2,"z-test(1798): z-value: 3.957, p-value:0.000","z-test(1798): z-value: 0.515, p-value:0.606","z-test(1798): z-value: 0.000, p-value:1.000","z-test(1798): z-value: 0.770, p-value:0.441","z-test(1798): z-value: 2.102, p-value:0.036","z-test(1798): z-value: 4.938, p-value:0.000","z-test(1798): z-value: 1.487, p-value:0.137","z-test(1798): z-value: 1.694, p-value:0.090","z-test(1798): z-value: 4.554, p-value:0.000","z-test(1798): z-value: 1.553, p-value:0.121","z-test(7178): z-value: 5.854, p-value:0.000"
3,"z-test(1798): z-value: 3.547, p-value:0.000","z-test(1798): z-value: -0.191, p-value:0.848","z-test(1798): z-value: -0.770, p-value:0.441","z-test(1798): z-value: 0.000, p-value:1.000","z-test(1798): z-value: 1.382, p-value:0.167","z-test(1798): z-value: 4.128, p-value:0.000","z-test(1798): z-value: 0.682, p-value:0.495","z-test(1798): z-value: 0.823, p-value:0.411","z-test(1798): z-value: 3.747, p-value:0.000","z-test(1798): z-value: 0.907, p-value:0.364","z-test(7178): z-value: 5.057, p-value:0.000"
4,"z-test(1798): z-value: 2.702, p-value:0.007","z-test(1798): z-value: -1.463, p-value:0.144","z-test(1798): z-value: -2.102, p-value:0.036","z-test(1798): z-value: -1.382, p-value:0.167","z-test(1798): z-value: 0.000, p-value:1.000","z-test(1798): z-value: 2.407, p-value:0.016","z-test(1798): z-value: -0.800, p-value:0.424","z-test(1798): z-value: -0.775, p-value:0.438","z-test(1798): z-value: 2.057, p-value:0.040","z-test(1798): z-value: -0.319, p-value:0.750","z-test(7178): z-value: 3.453, p-value:0.001"
5,"z-test(1798): z-value: 1.436, p-value:0.151","z-test(1798): z-value: -3.970, p-value:0.000","z-test(1798): z-value: -4.938, p-value:0.000","z-test(1798): z-value: -4.128, p-value:0.000","z-test(1798): z-value: -2.407, p-value:0.016","z-test(1798): z-value: 0.000, p-value:1.000","z-test(1798): z-value: -3.605, p-value:0.000","z-test(1798): z-value: -3.825, p-value:0.000","z-test(1798): z-value: -0.387, p-value:0.699","z-test(1798): z-value: -2.496, p-value:0.013","z-test(7178): z-value: 0.926, p-value:0.355"
6,"z-test(1798): z-value: 3.235, p-value:0.001","z-test(1798): z-value: -0.820, p-value:0.412","z-test(1798): z-value: -1.487, p-value:0.137","z-test(1798): z-value: -0.682, p-value:0.495","z-test(1798): z-value: 0.800, p-value:0.424","z-test(1798): z-value: 3.605, p-value:0.000","z-test(1798): z-value: 0.000, p-value:1.000","z-test(1798): z-value: 0.091, p-value:0.928","z-test(1798): z-value: 3.208, p-value:0.001","z-test(1798): z-value: 0.369, p-value:0.712","z-test(7178): z-value: 4.428, p-value:0.000"
7,"z-test(1798): z-value: 3.257, p-value:0.001","z-test(1798): z-value: -0.951, p-value:0.341","z-test(1798): z-value: -1.694, p-value:0.090","z-test(1798): z-value: -0.823, p-value:0.411","z-test(1798): z-value: 0.775, p-value:0.438","z-test(1798): z-value: 3.825, p-value:0.000","z-test(1798): z-value: -0.091, p-value:0.928","z-test(1798): z-value: 0.000, p-value:1.000","z-test(1798): z-value: 3.394, p-value:0.001","z-test(1798): z-value: 0.320, p-value:0.749","z-test(7178): z-value: 4.428, p-value:0.000"
8,"z-test(1798): z-value: 1.630, p-value:0.103","z-test(1798): z-value: -3.622, p-value:0.000","z-test(1798): z-value: -4.554, p-value:0.000","z-test(1798): z-value: -3.747, p-value:0.000","z-test(1798): z-value: -2.057, p-value:0.040","z-test(1798): z-value: 0.387, p-value:0.699","z-test(1798): z-value: -3.208, p-value:0.001","z-test(1798): z-value: -3.394, p-value:0.001","z-test(1798): z-value: 0.000, p-value:1.000","z-test(1798): z-value: -2.183, p-value:0.029","z-test(7178): z-value: 1.305, p-value:0.192"
9,"z-test(1798): z-value: 2.809, p-value:0.005","z-test(1798): z-value: -1.017, p-value:0.309","z-test(1798): z-value: -1.553, p-value:0.121","z-test(1798): z-value: -0.907, p-value:0.364","z-test(1798): z-value: 0.319, p-value:0.750","z-test(1798): z-value: 2.496, p-value:0.013","z-test(1798): z-value: -0.369, p-value:0.712","z-test(1798): z-value: -0.320, p-value:0.749","z-test(1798): z-value: 2.183, p-value:0.029","z-test(1798): z-value: 0.000, p-value:1.000","z-test(7178): z-value: 3.730, p-value:0.000"
