,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.0866,0.061,17.759,0.0,0.966,1.207,***
model[T.yiyanghkust/finbert-tone],0.0715,0.037,1.954,0.052,-0.001,0.143,.
source[T.Twitter],-0.8824,0.049,-18.171,0.0,-0.978,-0.787,***
dropout,-0.0366,0.022,-1.672,0.096,-0.08,0.006,.
epochs,0.0101,0.019,0.526,0.599,-0.028,0.048,
learning_rate,-0.1045,0.02,-5.344,0.0,-0.143,-0.066,***
linear_layers,-0.0687,0.019,-3.699,0.0,-0.105,-0.032,***
rnn_layers,-0.1025,0.026,-3.928,0.0,-0.154,-0.051,***
use_attention,-0.0027,0.018,-0.153,0.879,-0.038,0.033,
use_price,0.0222,0.019,1.168,0.244,-0.015,0.06,
window_size,-0.1189,0.023,-5.162,0.0,-0.164,-0.074,***
"np.power(rnn_layers, 2)",0.0022,0.026,0.084,0.933,-0.049,0.054,
"np.power(dropout, 2)",0.0092,0.019,0.484,0.629,-0.028,0.047,
"np.power(learning_rate, 2)",0.0348,0.02,1.744,0.082,-0.004,0.074,.
"np.power(window_size, 2)",-0.0106,0.024,-0.433,0.666,-0.059,0.038,
"np.power(linear_layers, 2)",-0.0351,0.023,-1.532,0.127,-0.08,0.01,
"np.power(epochs, 2)",-0.0483,0.021,-2.257,0.025,-0.09,-0.006,*
