,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.9795,0.116,8.463,0.0,0.747,1.212,***
reward[T.sharpeRatio],-0.075,0.114,-0.66,0.512,-0.303,0.153,
epochs,0.5322,0.065,8.199,0.0,0.402,0.662,***
gamma,0.0546,0.053,1.038,0.304,-0.051,0.16,
learning_rate,0.0416,0.045,0.921,0.361,-0.049,0.132,
max_memo,-0.0446,0.051,-0.878,0.384,-0.147,0.057,
net_dim,-0.158,0.052,-3.059,0.004,-0.262,-0.054,**
target_step,0.1,0.051,1.966,0.055,-0.002,0.202,.
tau,-0.0334,0.054,-0.624,0.535,-0.141,0.074,
"np.power(net_dim, 2)",-0.5405,0.081,-6.689,0.0,-0.703,-0.378,***
"np.power(max_memo, 2)",0.0479,0.048,1.007,0.319,-0.048,0.143,
"np.power(gamma, 2)",-0.001,0.051,-0.02,0.984,-0.103,0.101,
"np.power(tau, 2)",-0.1102,0.055,-2.019,0.049,-0.22,-0.001,*
"np.power(learning_rate, 2)",-0.0863,0.05,-1.726,0.09,-0.187,0.014,.
"np.power(target_step, 2)",-0.134,0.046,-2.943,0.005,-0.225,-0.043,**
"np.power(epochs, 2)",0.5514,0.072,7.613,0.0,0.406,0.697,***
