,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.4914,0.062,7.863,0.0,0.366,0.617,***
reward[T.sharpeRatio],0.0023,0.061,0.037,0.97,-0.121,0.125,
epochs,0.2743,0.035,7.826,0.0,0.204,0.345,***
gamma,0.0197,0.028,0.695,0.49,-0.037,0.077,
learning_rate,0.0207,0.024,0.85,0.399,-0.028,0.07,
max_memo,-0.0265,0.027,-0.967,0.338,-0.082,0.029,
net_dim,-0.0862,0.028,-3.09,0.003,-0.142,-0.03,**
target_step,0.063,0.027,2.293,0.026,0.008,0.118,*
tau,-0.0214,0.029,-0.741,0.462,-0.079,0.037,
"np.power(net_dim, 2)",-0.2466,0.044,-5.652,0.0,-0.334,-0.159,***
"np.power(max_memo, 2)",0.0241,0.026,0.937,0.353,-0.027,0.076,
"np.power(gamma, 2)",0.0059,0.028,0.212,0.833,-0.049,0.061,
"np.power(tau, 2)",-0.0581,0.029,-1.97,0.054,-0.117,0.001,.
"np.power(learning_rate, 2)",-0.0523,0.027,-1.938,0.058,-0.106,0.002,.
"np.power(target_step, 2)",-0.0827,0.025,-3.363,0.001,-0.132,-0.033,**
"np.power(epochs, 2)",0.2707,0.039,6.923,0.0,0.192,0.349,***
