,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.2335,0.006,-37.795,0.0,-0.246,-0.221,***
reward[T.sharpeRatio],-0.0046,0.006,-0.751,0.456,-0.017,0.008,
epochs,-0.1147,0.003,-33.105,0.0,-0.122,-0.108,***
gamma,-0.0031,0.003,-1.121,0.267,-0.009,0.002,
learning_rate,0.0013,0.002,0.553,0.583,-0.004,0.006,
max_memo,0.0023,0.003,0.835,0.408,-0.003,0.008,
net_dim,-0.0119,0.003,-4.304,0.0,-0.017,-0.006,***
target_step,0.0074,0.003,2.716,0.009,0.002,0.013,**
tau,0.0047,0.003,1.658,0.103,-0.001,0.01,
"np.power(net_dim, 2)",-0.0516,0.004,-11.973,0.0,-0.06,-0.043,***
"np.power(max_memo, 2)",0.0005,0.003,0.216,0.83,-0.005,0.006,
"np.power(gamma, 2)",-0.0014,0.003,-0.516,0.608,-0.007,0.004,
"np.power(tau, 2)",-0.0002,0.003,-0.079,0.937,-0.006,0.006,
"np.power(learning_rate, 2)",-0.0017,0.003,-0.641,0.525,-0.007,0.004,
"np.power(target_step, 2)",-0.0089,0.002,-3.671,0.001,-0.014,-0.004,**
"np.power(epochs, 2)",-0.1412,0.004,-36.532,0.0,-0.149,-0.133,***
