,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.6643,0.036,18.669,0.0,0.593,0.736,***
reward[T.sharpeRatio],0.0414,0.035,1.185,0.241,-0.029,0.111,
epochs,0.3171,0.02,15.894,0.0,0.277,0.357,***
gamma,-0.02,0.016,-1.239,0.221,-0.052,0.012,
learning_rate,0.0376,0.014,2.71,0.009,0.01,0.066,**
max_memo,-0.0108,0.016,-0.692,0.492,-0.042,0.021,
net_dim,0.0716,0.016,4.51,0.0,0.04,0.103,***
target_step,0.0573,0.016,3.663,0.001,0.026,0.089,**
tau,-0.0069,0.016,-0.417,0.679,-0.04,0.026,
"np.power(net_dim, 2)",-0.5605,0.025,-22.564,0.0,-0.61,-0.511,***
"np.power(max_memo, 2)",0.0245,0.015,1.674,0.1,-0.005,0.054,
"np.power(gamma, 2)",0.0213,0.016,1.36,0.18,-0.01,0.053,
"np.power(tau, 2)",-0.0227,0.017,-1.351,0.183,-0.056,0.011,
"np.power(learning_rate, 2)",-0.0235,0.015,-1.53,0.132,-0.054,0.007,
"np.power(target_step, 2)",-0.0604,0.014,-4.316,0.0,-0.088,-0.032,***
"np.power(epochs, 2)",0.4092,0.022,18.376,0.0,0.364,0.454,***
