,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.0079,0.062,16.158,0.0,0.883,1.133,***
reward[T.sharpeRatio],0.0331,0.061,0.541,0.591,-0.09,0.156,
epochs,0.4838,0.035,13.828,0.0,0.414,0.554,***
gamma,-0.0225,0.028,-0.794,0.431,-0.079,0.034,
learning_rate,0.0512,0.024,2.103,0.04,0.002,0.1,*
max_memo,-0.0214,0.027,-0.782,0.438,-0.076,0.034,
net_dim,0.0499,0.028,1.793,0.079,-0.006,0.106,.
target_step,0.0886,0.027,3.233,0.002,0.034,0.144,**
tau,-0.0165,0.029,-0.571,0.57,-0.074,0.041,
"np.power(net_dim, 2)",-0.7889,0.044,-18.116,0.0,-0.876,-0.702,***
"np.power(max_memo, 2)",0.0407,0.026,1.589,0.118,-0.011,0.092,
"np.power(gamma, 2)",0.0345,0.028,1.252,0.216,-0.021,0.09,
"np.power(tau, 2)",-0.0473,0.029,-1.607,0.114,-0.106,0.012,
"np.power(learning_rate, 2)",-0.0478,0.027,-1.776,0.082,-0.102,0.006,.
"np.power(target_step, 2)",-0.1037,0.025,-4.225,0.0,-0.153,-0.054,***
"np.power(epochs, 2)",0.6188,0.039,15.852,0.0,0.54,0.697,***
