,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.7996,0.042,19.162,0.0,0.718,0.882,***
model[T.yiyanghkust/finbert-tone],0.004,0.021,0.185,0.853,-0.038,0.046,
source[T.Twitter],-0.0235,0.022,-1.053,0.293,-0.067,0.02,
dropout,0.004,0.011,0.378,0.705,-0.017,0.025,
epochs,0.0215,0.011,1.982,0.048,0.0,0.043,*
learning_rate,0.0059,0.011,0.549,0.583,-0.015,0.027,
linear_layers,-0.0092,0.011,-0.814,0.416,-0.031,0.013,
portfolio_dim,-0.0678,0.038,-1.804,0.072,-0.142,0.006,.
portfolio_layers,0.0124,0.012,1.071,0.285,-0.01,0.035,
rnn_layers,0.0398,0.016,2.425,0.016,0.008,0.072,*
use_attention,0.0028,0.01,0.269,0.788,-0.018,0.023,
use_price,0.0027,0.011,0.239,0.812,-0.02,0.025,
window_size,0.0046,0.012,0.378,0.706,-0.019,0.028,
"np.power(rnn_layers, 2)",0.0093,0.014,0.685,0.494,-0.017,0.036,
"np.power(dropout, 2)",0.0098,0.011,0.931,0.352,-0.011,0.031,
"np.power(learning_rate, 2)",-0.002,0.011,-0.181,0.856,-0.024,0.02,
"np.power(portfolio_dim, 2)",0.0317,0.022,1.438,0.151,-0.012,0.075,
"np.power(window_size, 2)",0.0034,0.013,0.255,0.799,-0.023,0.029,
"np.power(portfolio_layers, 2)",-0.0075,0.015,-0.512,0.609,-0.036,0.021,
"np.power(linear_layers, 2)",-0.0236,0.012,-1.919,0.056,-0.048,0.001,.
"np.power(epochs, 2)",-0.0212,0.013,-1.61,0.108,-0.047,0.005,
