,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.4851,0.024,19.877,0.0,0.437,0.533,***
model[T.yiyanghkust/finbert-tone],-0.0021,0.013,-0.167,0.867,-0.027,0.023,
source[T.Twitter],-0.0285,0.013,-2.186,0.03,-0.054,-0.003,*
dropout,0.0002,0.006,0.032,0.975,-0.012,0.012,
epochs,0.0283,0.006,4.477,0.0,0.016,0.041,***
learning_rate,0.0077,0.006,1.211,0.227,-0.005,0.02,
linear_layers,-0.0045,0.007,-0.676,0.499,-0.017,0.009,
portfolio_dim,-0.0255,0.022,-1.162,0.246,-0.069,0.018,
portfolio_layers,0.0151,0.007,2.236,0.026,0.002,0.028,*
rnn_layers,0.0195,0.01,2.029,0.043,0.001,0.038,*
use_attention,0.0031,0.006,0.519,0.604,-0.009,0.015,
use_price,0.0083,0.007,1.247,0.213,-0.005,0.021,
window_size,-0.0064,0.007,-0.901,0.368,-0.02,0.008,
"np.power(rnn_layers, 2)",0.0027,0.008,0.338,0.736,-0.013,0.018,
"np.power(dropout, 2)",0.0011,0.006,0.18,0.857,-0.011,0.013,
"np.power(learning_rate, 2)",-0.0059,0.006,-0.907,0.365,-0.019,0.007,
"np.power(portfolio_dim, 2)",0.007,0.013,0.544,0.587,-0.018,0.032,
"np.power(window_size, 2)",-0.0047,0.008,-0.605,0.546,-0.02,0.011,
"np.power(portfolio_layers, 2)",0.0072,0.009,0.836,0.404,-0.01,0.024,
"np.power(linear_layers, 2)",-0.0189,0.007,-2.636,0.009,-0.033,-0.005,**
"np.power(epochs, 2)",-0.0175,0.008,-2.273,0.024,-0.033,-0.002,*
