,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.4702,0.006,-80.033,0.0,-0.482,-0.459,***
model[T.yiyanghkust/finbert-tone],0.0002,0.003,0.06,0.952,-0.006,0.006,
source[T.Twitter],-0.0016,0.003,-0.513,0.608,-0.008,0.005,
dropout,0.0027,0.001,1.828,0.068,-0.0,0.006,.
epochs,-0.0085,0.002,-5.569,0.0,-0.011,-0.005,***
learning_rate,-0.005,0.002,-3.255,0.001,-0.008,-0.002,**
linear_layers,0.001,0.002,0.637,0.525,-0.002,0.004,
portfolio_dim,-0.0164,0.005,-3.104,0.002,-0.027,-0.006,**
portfolio_layers,-0.0018,0.002,-1.085,0.279,-0.005,0.001,
rnn_layers,0.0026,0.002,1.135,0.257,-0.002,0.007,
use_attention,0.0017,0.001,1.194,0.233,-0.001,0.005,
use_price,-0.0019,0.002,-1.183,0.238,-0.005,0.001,
window_size,0.0007,0.002,0.428,0.669,-0.003,0.004,
"np.power(rnn_layers, 2)",0.0006,0.002,0.302,0.763,-0.003,0.004,
"np.power(dropout, 2)",0.001,0.001,0.647,0.518,-0.002,0.004,
"np.power(learning_rate, 2)",0.0043,0.002,2.761,0.006,0.001,0.007,**
"np.power(portfolio_dim, 2)",0.0081,0.003,2.623,0.009,0.002,0.014,**
"np.power(window_size, 2)",0.0032,0.002,1.698,0.091,-0.001,0.007,.
"np.power(portfolio_layers, 2)",-0.0019,0.002,-0.897,0.371,-0.006,0.002,
"np.power(linear_layers, 2)",-0.0023,0.002,-1.302,0.194,-0.006,0.001,
"np.power(epochs, 2)",0.004,0.002,2.169,0.031,0.0,0.008,*
