,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.7243,0.03,24.124,0.0,0.665,0.783,***
model[T.yiyanghkust/finbert-tone],0.0035,0.015,0.229,0.819,-0.027,0.034,
source[T.Twitter],-0.0177,0.016,-1.104,0.27,-0.049,0.014,
dropout,0.0056,0.008,0.73,0.466,-0.009,0.021,
epochs,0.0255,0.008,3.272,0.001,0.01,0.041,**
learning_rate,0.0098,0.008,1.259,0.209,-0.006,0.025,
linear_layers,-0.0049,0.008,-0.605,0.546,-0.021,0.011,
portfolio_dim,-0.0439,0.027,-1.625,0.105,-0.097,0.009,
portfolio_layers,0.0164,0.008,1.972,0.049,4.25e-05,0.033,*
rnn_layers,0.0131,0.012,1.115,0.266,-0.01,0.036,
use_attention,0.0076,0.007,1.02,0.308,-0.007,0.022,
use_price,0.0088,0.008,1.08,0.281,-0.007,0.025,
window_size,-0.0022,0.009,-0.25,0.803,-0.019,0.015,
"np.power(rnn_layers, 2)",-0.0038,0.01,-0.395,0.693,-0.023,0.015,
"np.power(dropout, 2)",0.0004,0.008,0.047,0.963,-0.015,0.015,
"np.power(learning_rate, 2)",-0.0051,0.008,-0.643,0.521,-0.021,0.011,
"np.power(portfolio_dim, 2)",0.0169,0.016,1.068,0.286,-0.014,0.048,
"np.power(window_size, 2)",0.0038,0.01,0.397,0.691,-0.015,0.022,
"np.power(portfolio_layers, 2)",0.0035,0.011,0.328,0.743,-0.017,0.024,
"np.power(linear_layers, 2)",-0.0206,0.009,-2.336,0.02,-0.038,-0.003,*
"np.power(epochs, 2)",-0.014,0.009,-1.48,0.14,-0.033,0.005,
