,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.0418,0.043,24.274,0.0,0.957,1.126,***
model[T.yiyanghkust/finbert-tone],0.0031,0.022,0.141,0.888,-0.04,0.046,
source[T.Twitter],-0.0257,0.023,-1.121,0.263,-0.071,0.019,
dropout,0.0067,0.011,0.617,0.538,-0.015,0.028,
epochs,0.0355,0.011,3.189,0.002,0.014,0.057,**
learning_rate,0.0103,0.011,0.923,0.357,-0.012,0.032,
linear_layers,-0.0108,0.012,-0.924,0.356,-0.034,0.012,
portfolio_dim,-0.0666,0.039,-1.724,0.086,-0.143,0.009,.
portfolio_layers,0.024,0.012,2.015,0.045,0.001,0.047,*
rnn_layers,0.027,0.017,1.599,0.111,-0.006,0.06,
use_attention,0.0078,0.011,0.733,0.464,-0.013,0.029,
use_price,0.0129,0.012,1.105,0.27,-0.01,0.036,
window_size,-0.0053,0.012,-0.429,0.668,-0.03,0.019,
"np.power(rnn_layers, 2)",-0.0015,0.014,-0.111,0.912,-0.029,0.026,
"np.power(dropout, 2)",0.0013,0.011,0.122,0.903,-0.02,0.023,
"np.power(learning_rate, 2)",-0.0031,0.011,-0.271,0.786,-0.026,0.019,
"np.power(portfolio_dim, 2)",0.0266,0.023,1.176,0.24,-0.018,0.071,
"np.power(window_size, 2)",0.0047,0.014,0.346,0.73,-0.022,0.031,
"np.power(portfolio_layers, 2)",0.0048,0.015,0.315,0.753,-0.025,0.035,
"np.power(linear_layers, 2)",-0.0304,0.013,-2.41,0.017,-0.055,-0.006,*
"np.power(epochs, 2)",-0.0201,0.014,-1.484,0.139,-0.047,0.007,
