,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.0207,0.014,1.436,0.152,-0.008,0.049,
model[T.yiyanghkust/finbert-tone],-0.1148,0.022,-5.146,0.0,-0.159,-0.071,***
source[T.Twitter],-0.1541,0.021,-7.196,0.0,-0.196,-0.112,***
dropout,0.0005,0.011,0.044,0.965,-0.021,0.022,
epochs,0.0302,0.011,2.736,0.007,0.008,0.052,**
freeze_bert,-0.0134,0.01,-1.281,0.201,-0.034,0.007,
learning_rate,-0.0118,0.011,-1.098,0.273,-0.033,0.009,
window_size,-0.0322,0.011,-3.018,0.003,-0.053,-0.011,**
"np.power(dropout, 2)",0.0098,0.011,0.912,0.362,-0.011,0.031,
"np.power(freeze_bert, 2)",0.0193,0.014,1.35,0.178,-0.009,0.047,
"np.power(epochs, 2)",0.0081,0.014,0.585,0.559,-0.019,0.035,
"np.power(learning_rate, 2)",0.0065,0.012,0.535,0.593,-0.017,0.031,
"np.power(window_size, 2)",0.0628,0.015,4.321,0.0,0.034,0.091,***
