,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.0577,0.025,2.319,0.021,0.009,0.107,*
model[T.yiyanghkust/finbert-tone],-0.1898,0.039,-4.923,0.0,-0.266,-0.114,***
source[T.Twitter],-0.2518,0.037,-6.802,0.0,-0.325,-0.179,***
dropout,-0.008,0.019,-0.425,0.671,-0.045,0.029,
epochs,0.0498,0.019,2.61,0.01,0.012,0.087,*
freeze_bert,-0.0179,0.018,-0.993,0.321,-0.053,0.018,
learning_rate,-0.0058,0.019,-0.313,0.754,-0.042,0.031,
window_size,-0.051,0.018,-2.765,0.006,-0.087,-0.015,**
"np.power(dropout, 2)",0.0046,0.019,0.245,0.806,-0.032,0.041,
"np.power(freeze_bert, 2)",0.0559,0.025,2.262,0.024,0.007,0.104,*
"np.power(epochs, 2)",0.0254,0.024,1.062,0.289,-0.022,0.073,
"np.power(learning_rate, 2)",-0.0002,0.021,-0.01,0.992,-0.042,0.041,
"np.power(window_size, 2)",0.0951,0.025,3.788,0.0,0.046,0.145,***
