,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.3346,0.008,-40.908,0.0,-0.351,-0.318,***
model[T.yiyanghkust/finbert-tone],0.0274,0.005,5.604,0.0,0.018,0.037,***
source[T.Twitter],-0.0989,0.006,-15.231,0.0,-0.112,-0.086,***
dropout,-0.0029,0.003,-1.004,0.316,-0.009,0.003,
epochs,0.0015,0.003,0.575,0.566,-0.004,0.007,
learning_rate,-0.0106,0.003,-4.074,0.0,-0.016,-0.006,***
linear_layers,-0.0061,0.002,-2.454,0.015,-0.011,-0.001,*
rnn_layers,-0.0059,0.003,-1.699,0.09,-0.013,0.001,.
use_attention,-0.0024,0.002,-0.997,0.32,-0.007,0.002,
use_price,0.0039,0.003,1.548,0.123,-0.001,0.009,
window_size,-0.0075,0.003,-2.422,0.016,-0.014,-0.001,*
"np.power(rnn_layers, 2)",-0.0052,0.003,-1.488,0.138,-0.012,0.002,
"np.power(window_size, 2)",-0.0027,0.003,-0.831,0.406,-0.009,0.004,
"np.power(linear_layers, 2)",-0.0036,0.003,-1.186,0.237,-0.01,0.002,
"np.power(learning_rate, 2)",0.0033,0.003,1.25,0.212,-0.002,0.009,
"np.power(epochs, 2)",-0.0058,0.003,-2.036,0.043,-0.011,-0.0,*
"np.power(dropout, 2)",0.0015,0.003,0.577,0.565,-0.004,0.006,
