,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.7933,0.099,18.171,0.0,1.599,1.987,***
model[T.yiyanghkust/finbert-tone],0.0722,0.059,1.224,0.222,-0.044,0.188,
source[T.Twitter],-1.373,0.078,-17.53,0.0,-1.527,-1.219,***
dropout,-0.0642,0.035,-1.817,0.07,-0.134,0.005,.
epochs,0.0227,0.031,0.733,0.464,-0.038,0.084,
learning_rate,-0.1783,0.032,-5.655,0.0,-0.24,-0.116,***
linear_layers,-0.1113,0.03,-3.715,0.0,-0.17,-0.052,***
rnn_layers,-0.1714,0.042,-4.075,0.0,-0.254,-0.089,***
use_attention,0.0065,0.029,0.224,0.823,-0.05,0.063,
use_price,0.0389,0.031,1.268,0.206,-0.021,0.099,
window_size,-0.2533,0.037,-6.82,0.0,-0.326,-0.18,***
"np.power(rnn_layers, 2)",0.0063,0.042,0.15,0.881,-0.077,0.089,
"np.power(window_size, 2)",0.0153,0.039,0.388,0.698,-0.062,0.093,
"np.power(linear_layers, 2)",-0.0539,0.037,-1.457,0.146,-0.127,0.019,
"np.power(learning_rate, 2)",0.0567,0.032,1.762,0.079,-0.007,0.12,.
"np.power(epochs, 2)",-0.0911,0.035,-2.639,0.009,-0.159,-0.023,**
"np.power(dropout, 2)",0.0196,0.031,0.639,0.523,-0.041,0.08,
