,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.0035,0.036,0.097,0.923,-0.067,0.074,
model[T.yiyanghkust/finbert-tone],-0.0128,0.026,-0.491,0.624,-0.064,0.039,
source[T.Twitter],-0.0014,0.025,-0.054,0.957,-0.051,0.049,
dropout,-0.0029,0.013,-0.214,0.831,-0.029,0.024,
epochs,-0.0002,0.015,-0.011,0.991,-0.029,0.028,
learning_rate,-0.0515,0.014,-3.627,0.0,-0.079,-0.024,***
linear_layers,0.0169,0.012,1.397,0.163,-0.007,0.041,
rnn_layers,-0.0054,0.012,-0.453,0.651,-0.029,0.018,
use_attention,0.0074,0.012,0.62,0.536,-0.016,0.031,
use_price,-0.0245,0.012,-1.993,0.047,-0.049,-0.0,*
window_size,-0.0037,0.012,-0.306,0.759,-0.027,0.02,
"np.power(linear_layers, 2)",-0.0008,0.015,-0.055,0.956,-0.031,0.029,
"np.power(dropout, 2)",-0.0108,0.013,-0.828,0.408,-0.037,0.015,
"np.power(epochs, 2)",-0.0041,0.011,-0.363,0.717,-0.027,0.018,
"np.power(window_size, 2)",-0.021,0.012,-1.767,0.078,-0.044,0.002,.
"np.power(learning_rate, 2)",0.0356,0.012,2.88,0.004,0.011,0.06,**
"np.power(rnn_layers, 2)",0.0112,0.016,0.718,0.473,-0.019,0.042,
