,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.2342,0.016,-15.042,0.0,-0.265,-0.204,***
model[T.yiyanghkust/finbert-tone],0.0092,0.011,0.804,0.422,-0.013,0.032,
source[T.Twitter],-0.0436,0.011,-3.954,0.0,-0.065,-0.022,***
dropout,-0.0053,0.006,-0.91,0.364,-0.017,0.006,
epochs,0.0315,0.006,4.993,0.0,0.019,0.044,***
learning_rate,0.1013,0.006,16.379,0.0,0.089,0.113,***
linear_layers,0.0081,0.005,1.54,0.125,-0.002,0.018,
rnn_layers,0.0173,0.005,3.327,0.001,0.007,0.028,**
use_attention,0.0094,0.005,1.816,0.07,-0.001,0.02,.
use_price,-0.1033,0.005,-19.285,0.0,-0.114,-0.093,***
window_size,-0.0042,0.005,-0.795,0.427,-0.014,0.006,
"np.power(linear_layers, 2)",-0.0122,0.007,-1.83,0.068,-0.025,0.001,.
"np.power(dropout, 2)",-0.0054,0.006,-0.941,0.347,-0.017,0.006,
"np.power(epochs, 2)",-0.0073,0.005,-1.477,0.141,-0.017,0.002,
"np.power(window_size, 2)",-8.053e-06,0.005,-0.002,0.999,-0.01,0.01,
"np.power(learning_rate, 2)",-0.031,0.005,-5.758,0.0,-0.042,-0.02,***
"np.power(rnn_layers, 2)",0.0034,0.007,0.5,0.617,-0.01,0.017,
