,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.3846,0.009,-44.398,0.0,-0.402,-0.368,***
dicts[T.LM+Vader],0.0003,0.011,0.024,0.981,-0.021,0.021,
dicts[T.Vader],0.0007,0.006,0.115,0.909,-0.011,0.013,
dicts[T.bert],0.0064,0.008,0.771,0.441,-0.01,0.023,
dicts[T.bert+LM],-0.0051,0.012,-0.437,0.663,-0.028,0.018,
dicts[T.bert+LM+Vader],-0.0095,0.012,-0.781,0.435,-0.033,0.014,
source[T.Twitter],0.0108,0.007,1.486,0.138,-0.003,0.025,
dropout,-0.0018,0.004,-0.45,0.653,-0.01,0.006,
epochs,-0.0045,0.005,-0.948,0.344,-0.014,0.005,
learning_rate,-0.0057,0.004,-1.574,0.117,-0.013,0.001,
linear_layers,-0.0058,0.003,-1.889,0.06,-0.012,0.0,.
rnn_layers,-0.0019,0.003,-0.743,0.458,-0.007,0.003,
use_attention,0.0031,0.002,1.245,0.214,-0.002,0.008,
use_price,0.0026,0.003,1.031,0.303,-0.002,0.008,
window_size,0.0102,0.003,3.222,0.001,0.004,0.016,**
"np.power(rnn_layers, 2)",0.0031,0.003,0.963,0.336,-0.003,0.01,
"np.power(window_size, 2)",0.0041,0.003,1.391,0.165,-0.002,0.01,
"np.power(linear_layers, 2)",3.531e-05,0.003,0.01,0.992,-0.007,0.007,
"np.power(learning_rate, 2)",-0.0061,0.002,-2.846,0.005,-0.01,-0.002,**
"np.power(epochs, 2)",-0.0111,0.003,-3.257,0.001,-0.018,-0.004,**
"np.power(dropout, 2)",-0.0005,0.002,-0.24,0.811,-0.005,0.004,
