,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.2806,0.066,19.481,0.0,1.151,1.41,***
dicts[T.LM+Vader],-0.2431,0.082,-2.975,0.003,-0.404,-0.082,**
dicts[T.Vader],0.0122,0.046,0.265,0.791,-0.078,0.102,
dicts[T.bert],0.0264,0.063,0.419,0.675,-0.098,0.151,
dicts[T.bert+LM],-0.2818,0.089,-3.17,0.002,-0.457,-0.107,**
dicts[T.bert+LM+Vader],-0.3242,0.092,-3.507,0.001,-0.506,-0.142,**
source[T.Twitter],-0.275,0.055,-4.987,0.0,-0.384,-0.167,***
dropout,-0.088,0.031,-2.822,0.005,-0.149,-0.027,**
epochs,0.0681,0.036,1.891,0.06,-0.003,0.139,.
learning_rate,0.0274,0.028,0.989,0.323,-0.027,0.082,
linear_layers,-0.0059,0.023,-0.252,0.801,-0.052,0.04,
rnn_layers,0.0146,0.019,0.759,0.449,-0.023,0.053,
use_attention,0.0224,0.019,1.198,0.232,-0.014,0.059,
use_price,0.0468,0.019,2.442,0.015,0.009,0.084,*
window_size,0.0798,0.024,3.313,0.001,0.032,0.127,**
"np.power(rnn_layers, 2)",-0.0345,0.025,-1.395,0.164,-0.083,0.014,
"np.power(window_size, 2)",0.059,0.023,2.606,0.01,0.014,0.104,*
"np.power(linear_layers, 2)",-0.0014,0.026,-0.053,0.958,-0.052,0.05,
"np.power(learning_rate, 2)",-0.0708,0.016,-4.337,0.0,-0.103,-0.039,***
"np.power(epochs, 2)",-0.0599,0.026,-2.324,0.021,-0.111,-0.009,*
"np.power(dropout, 2)",-0.018,0.017,-1.037,0.3,-0.052,0.016,
