,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,2.1138,0.137,15.399,0.0,1.844,2.384,***
model[T.yiyanghkust/finbert-tone],0.0737,0.082,0.898,0.37,-0.088,0.235,
source[T.Twitter],-1.6902,0.109,-15.515,0.0,-1.905,-1.476,***
dropout,-0.0709,0.049,-1.442,0.15,-0.168,0.026,
epochs,0.0532,0.043,1.235,0.218,-0.032,0.138,
learning_rate,-0.2576,0.044,-5.874,0.0,-0.344,-0.171,***
linear_layers,-0.1285,0.042,-3.081,0.002,-0.21,-0.046,**
rnn_layers,-0.191,0.059,-3.265,0.001,-0.306,-0.076,**
use_attention,0.0084,0.04,0.207,0.836,-0.071,0.088,
use_price,0.0411,0.043,0.963,0.337,-0.043,0.125,
window_size,-0.6162,0.052,-11.928,0.0,-0.718,-0.515,***
"np.power(dropout, 2)",0.0407,0.043,0.953,0.342,-0.043,0.125,
"np.power(epochs, 2)",-0.1824,0.048,-3.8,0.0,-0.277,-0.088,***
"np.power(rnn_layers, 2)",0.0141,0.059,0.242,0.809,-0.101,0.129,
"np.power(learning_rate, 2)",0.0717,0.045,1.603,0.11,-0.016,0.16,
"np.power(window_size, 2)",0.2157,0.055,3.931,0.0,0.108,0.324,***
"np.power(linear_layers, 2)",-0.0517,0.051,-1.005,0.316,-0.153,0.05,
