,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.6552,0.04,16.226,0.0,0.576,0.735,***
model[T.yiyanghkust/finbert-tone],0.0173,0.024,0.716,0.475,-0.03,0.065,
source[T.Twitter],-0.6063,0.032,-18.916,0.0,-0.669,-0.543,***
dropout,-0.0197,0.014,-1.362,0.174,-0.048,0.009,
epochs,0.0135,0.013,1.062,0.289,-0.011,0.038,
learning_rate,-0.0714,0.013,-5.53,0.0,-0.097,-0.046,***
linear_layers,-0.0418,0.012,-3.408,0.001,-0.066,-0.018,**
rnn_layers,-0.0632,0.017,-3.67,0.0,-0.097,-0.029,***
use_attention,0.0069,0.012,0.58,0.563,-0.016,0.03,
use_price,0.0184,0.013,1.466,0.144,-0.006,0.043,
window_size,-0.132,0.015,-8.682,0.0,-0.162,-0.102,***
"np.power(dropout, 2)",0.0104,0.013,0.825,0.41,-0.014,0.035,
"np.power(epochs, 2)",-0.0424,0.014,-3.003,0.003,-0.07,-0.015,**
"np.power(rnn_layers, 2)",-8.685e-05,0.017,-0.005,0.996,-0.034,0.034,
"np.power(learning_rate, 2)",0.0222,0.013,1.689,0.092,-0.004,0.048,.
"np.power(window_size, 2)",0.0291,0.016,1.805,0.072,-0.003,0.061,.
"np.power(linear_layers, 2)",-0.0234,0.015,-1.547,0.123,-0.053,0.006,
