,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-72.7848,24.602,-2.958,0.003,-121.203,-24.367,**
model[T.yiyanghkust/finbert-tone],38.7711,38.099,1.018,0.31,-36.209,113.751,
source[T.Twitter],83.9732,36.581,2.296,0.022,11.981,155.965,*
dropout,-26.7818,18.601,-1.44,0.151,-63.388,9.824,
epochs,8.6502,18.855,0.459,0.647,-28.457,45.757,
freeze_bert,-29.8078,17.819,-1.673,0.095,-64.875,5.259,.
learning_rate,16.8506,18.29,0.921,0.358,-19.145,52.846,
window_size,-48.6712,18.22,-2.671,0.008,-84.529,-12.814,**
"np.power(freeze_bert, 2)",-75.8859,24.412,-3.108,0.002,-123.93,-27.842,**
"np.power(window_size, 2)",18.7532,24.817,0.756,0.45,-30.088,67.594,
"np.power(learning_rate, 2)",36.7849,20.82,1.767,0.078,-4.189,77.759,.
"np.power(epochs, 2)",37.2204,23.655,1.573,0.117,-9.333,83.774,
"np.power(dropout, 2)",37.5267,18.425,2.037,0.043,1.266,73.787,*
