,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.2026,0.006,-35.023,0.0,-0.214,-0.191,***
model[T.yiyanghkust/finbert-tone],-0.0249,0.009,-2.779,0.006,-0.043,-0.007,**
source[T.Twitter],0.003,0.009,0.345,0.73,-0.014,0.02,
dropout,-0.0082,0.004,-1.872,0.062,-0.017,0.0,.
epochs,0.0087,0.004,1.958,0.051,-4.24e-05,0.017,.
freeze_bert,-0.0231,0.004,-5.524,0.0,-0.031,-0.015,***
learning_rate,-0.0012,0.004,-0.274,0.784,-0.01,0.007,
window_size,-0.0144,0.004,-3.368,0.001,-0.023,-0.006,**
"np.power(freeze_bert, 2)",-0.2051,0.006,-35.715,0.0,-0.216,-0.194,***
"np.power(window_size, 2)",0.0141,0.006,2.419,0.016,0.003,0.026,*
"np.power(learning_rate, 2)",0.0037,0.005,0.763,0.446,-0.006,0.013,
"np.power(epochs, 2)",0.0046,0.006,0.832,0.406,-0.006,0.016,
"np.power(dropout, 2)",0.0082,0.004,1.898,0.059,-0.0,0.017,.
