,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-87.6885,29.598,-2.963,0.003,-145.938,-29.439,**
model[T.yiyanghkust/finbert-tone],46.7403,45.836,1.02,0.309,-43.465,136.946,
source[T.Twitter],101.2007,44.009,2.3,0.022,14.59,187.811,*
dropout,-32.2296,22.378,-1.44,0.151,-76.269,11.81,
epochs,10.3889,22.684,0.458,0.647,-34.253,55.031,
freeze_bert,-35.8506,21.437,-1.672,0.096,-78.038,6.337,.
learning_rate,20.3009,22.004,0.923,0.357,-23.004,63.605,
window_size,-58.5115,21.92,-2.669,0.008,-101.65,-15.373,**
"np.power(freeze_bert, 2)",-91.4183,29.37,-3.113,0.002,-149.218,-33.619,**
"np.power(window_size, 2)",22.5124,29.857,0.754,0.451,-36.246,81.271,
"np.power(learning_rate, 2)",44.252,25.048,1.767,0.078,-5.042,93.546,.
"np.power(epochs, 2)",44.7602,28.458,1.573,0.117,-11.246,100.767,
"np.power(dropout, 2)",45.1413,22.166,2.036,0.043,1.518,88.765,*
