,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.7377,0.278,6.251,0.0,1.184,2.292,***
model[T.yiyanghkust/finbert-tone],-0.1425,0.149,-0.958,0.341,-0.439,0.154,
source[T.Twitter],-1.6505,0.169,-9.789,0.0,-1.987,-1.314,***
dropout,-0.017,0.091,-0.187,0.853,-0.198,0.164,
epochs,0.125,0.077,1.618,0.11,-0.029,0.279,
learning_rate,-0.2183,0.078,-2.809,0.006,-0.373,-0.063,**
linear_layers,-0.0182,0.078,-0.233,0.817,-0.174,0.138,
rnn_layers,-0.1374,0.077,-1.792,0.077,-0.29,0.015,.
use_attention,0.1239,0.074,1.664,0.101,-0.025,0.272,
use_price,-0.0326,0.082,-0.396,0.693,-0.196,0.131,
window_size,-0.3517,0.078,-4.534,0.0,-0.506,-0.197,***
"np.power(epochs, 2)",-0.111,0.102,-1.091,0.279,-0.314,0.092,
"np.power(rnn_layers, 2)",0.0363,0.111,0.326,0.745,-0.186,0.258,
"np.power(dropout, 2)",0.0837,0.083,1.015,0.314,-0.081,0.248,
"np.power(linear_layers, 2)",-0.0807,0.114,-0.709,0.481,-0.308,0.146,
"np.power(window_size, 2)",0.0226,0.093,0.242,0.809,-0.164,0.209,
"np.power(learning_rate, 2)",0.1844,0.083,2.222,0.029,0.019,0.35,*
