,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.5708,0.094,6.061,0.0,0.383,0.759,***
model[T.yiyanghkust/finbert-tone],-0.0178,0.05,-0.353,0.725,-0.118,0.083,
source[T.Twitter],-0.6103,0.057,-10.685,0.0,-0.724,-0.496,***
dropout,0.0081,0.031,0.262,0.794,-0.053,0.069,
epochs,0.0255,0.026,0.974,0.333,-0.027,0.078,
learning_rate,-0.0635,0.026,-2.412,0.018,-0.116,-0.011,*
linear_layers,-0.0183,0.027,-0.691,0.492,-0.071,0.035,
rnn_layers,-0.0623,0.026,-2.396,0.019,-0.114,-0.01,*
use_attention,0.0511,0.025,2.025,0.047,0.001,0.101,*
use_price,-0.0111,0.028,-0.399,0.691,-0.067,0.044,
window_size,-0.0891,0.026,-3.39,0.001,-0.141,-0.037,**
"np.power(epochs, 2)",-0.0369,0.034,-1.071,0.288,-0.106,0.032,
"np.power(rnn_layers, 2)",-0.0159,0.038,-0.422,0.674,-0.091,0.059,
"np.power(dropout, 2)",0.0116,0.028,0.415,0.68,-0.044,0.067,
"np.power(linear_layers, 2)",-0.0237,0.039,-0.615,0.54,-0.101,0.053,
"np.power(window_size, 2)",-0.0226,0.032,-0.714,0.477,-0.086,0.04,
"np.power(learning_rate, 2)",0.0652,0.028,2.317,0.023,0.009,0.121,*
