,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.3054,0.022,-13.884,0.0,-0.349,-0.262,***
model[T.yiyanghkust/finbert-tone],0.0181,0.012,1.533,0.13,-0.005,0.042,
source[T.Twitter],-0.1165,0.013,-8.732,0.0,-0.143,-0.09,***
dropout,0.0032,0.007,0.443,0.659,-0.011,0.018,
epochs,0.0036,0.006,0.593,0.555,-0.009,0.016,
learning_rate,-0.0135,0.006,-2.202,0.031,-0.026,-0.001,*
linear_layers,-0.0083,0.006,-1.345,0.183,-0.021,0.004,
rnn_layers,-0.0177,0.006,-2.918,0.005,-0.03,-0.006,**
use_attention,-0.0016,0.006,-0.279,0.781,-0.013,0.01,
use_price,0.0056,0.007,0.856,0.395,-0.007,0.019,
window_size,-0.0113,0.006,-1.838,0.07,-0.024,0.001,.
"np.power(epochs, 2)",-0.0164,0.008,-2.042,0.045,-0.032,-0.0,*
"np.power(rnn_layers, 2)",-0.0145,0.009,-1.643,0.105,-0.032,0.003,
"np.power(dropout, 2)",-0.0026,0.007,-0.404,0.688,-0.016,0.01,
"np.power(linear_layers, 2)",-0.0053,0.009,-0.583,0.562,-0.023,0.013,
"np.power(window_size, 2)",-0.0113,0.007,-1.533,0.13,-0.026,0.003,
"np.power(learning_rate, 2)",0.0024,0.007,0.364,0.717,-0.011,0.015,
