,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.9952,0.156,6.367,0.0,0.684,1.307,***
model[T.yiyanghkust/finbert-tone],0.0293,0.084,0.35,0.727,-0.138,0.196,
source[T.Twitter],-0.8954,0.095,-9.445,0.0,-1.084,-0.706,***
dropout,0.0053,0.051,0.104,0.918,-0.097,0.107,
epochs,0.0432,0.043,0.994,0.324,-0.043,0.13,
learning_rate,-0.0925,0.044,-2.117,0.038,-0.18,-0.005,*
linear_layers,-0.0412,0.044,-0.937,0.352,-0.129,0.046,
rnn_layers,-0.1077,0.043,-2.497,0.015,-0.194,-0.022,*
use_attention,0.0503,0.042,1.202,0.233,-0.033,0.134,
use_price,-0.0083,0.046,-0.179,0.858,-0.1,0.084,
window_size,-0.0923,0.044,-2.115,0.038,-0.179,-0.005,*
"np.power(epochs, 2)",-0.0265,0.057,-0.463,0.645,-0.14,0.088,
"np.power(rnn_layers, 2)",-0.0233,0.063,-0.372,0.711,-0.148,0.101,
"np.power(dropout, 2)",0.007,0.046,0.15,0.881,-0.086,0.099,
"np.power(linear_layers, 2)",-0.0454,0.064,-0.71,0.48,-0.173,0.082,
"np.power(window_size, 2)",-0.0915,0.053,-1.742,0.086,-0.196,0.013,.
"np.power(learning_rate, 2)",0.0716,0.047,1.535,0.129,-0.021,0.165,
