,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.6003,0.243,6.585,0.0,1.116,2.085,***
model[T.yiyanghkust/finbert-tone],-0.002,0.13,-0.015,0.988,-0.261,0.257,
source[T.Twitter],-1.3786,0.147,-9.353,0.0,-1.672,-1.085,***
dropout,0.002,0.08,0.026,0.98,-0.156,0.161,
epochs,0.0668,0.068,0.989,0.326,-0.068,0.201,
learning_rate,-0.157,0.068,-2.311,0.024,-0.292,-0.022,*
linear_layers,-0.0574,0.068,-0.839,0.404,-0.194,0.079,
rnn_layers,-0.1676,0.067,-2.5,0.015,-0.301,-0.034,*
use_attention,0.0978,0.065,1.502,0.137,-0.032,0.228,
use_price,-0.0181,0.072,-0.252,0.802,-0.161,0.125,
window_size,-0.1877,0.068,-2.767,0.007,-0.323,-0.052,**
"np.power(epochs, 2)",-0.0526,0.089,-0.592,0.556,-0.23,0.125,
"np.power(rnn_layers, 2)",-0.0307,0.097,-0.315,0.753,-0.225,0.163,
"np.power(dropout, 2)",0.0197,0.072,0.273,0.786,-0.124,0.164,
"np.power(linear_layers, 2)",-0.0699,0.099,-0.702,0.485,-0.268,0.128,
"np.power(window_size, 2)",-0.1179,0.082,-1.444,0.153,-0.281,0.045,
"np.power(learning_rate, 2)",0.1337,0.073,1.842,0.07,-0.011,0.278,.
