,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-1201.249,724.638,-1.658,0.158,-3063.989,661.491,
model[T.yiyanghkust/finbert-tone],1189.858,783.449,1.519,0.189,-824.063,3203.779,
source[T.Twitter],449.726,280.529,1.603,0.17,-271.397,1170.849,
dropout,57.5387,164.53,0.35,0.741,-365.4,480.477,
epochs,-168.5562,268.697,-0.627,0.558,-859.263,522.151,
learning_rate,67.5091,246.738,0.274,0.795,-566.752,701.77,
linear_layers,221.3847,225.029,0.984,0.37,-357.07,799.839,
rnn_layers,16.0451,214.915,0.075,0.943,-536.41,568.5,
use_attention,88.8238,221.983,0.4,0.706,-481.803,659.45,
use_price,63.4125,137.812,0.46,0.665,-290.845,417.669,
window_size,-147.2358,450.234,-0.327,0.757,-1304.599,1010.127,
"np.power(epochs, 2)",118.873,192.553,0.617,0.564,-376.099,613.845,
"np.power(rnn_layers, 2)",-150.1511,554.385,-0.271,0.797,-1575.242,1274.94,
"np.power(dropout, 2)",-123.2524,259.053,-0.476,0.654,-789.169,542.664,
"np.power(linear_layers, 2)",585.2711,500.723,1.169,0.295,-701.878,1872.42,
"np.power(window_size, 2)",352.0365,184.687,1.906,0.115,-122.717,826.79,
"np.power(learning_rate, 2)",76.9284,178.907,0.43,0.685,-382.966,536.823,
