,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.1358,0.407,0.334,0.752,-0.911,1.183,
model[T.yiyanghkust/finbert-tone],0.3266,0.44,0.742,0.492,-0.805,1.459,
source[T.Twitter],-0.0908,0.158,-0.576,0.59,-0.496,0.315,
dropout,0.0648,0.092,0.701,0.515,-0.173,0.303,
epochs,-0.24,0.151,-1.589,0.173,-0.628,0.148,
learning_rate,0.1159,0.139,0.835,0.442,-0.241,0.472,
linear_layers,0.0966,0.126,0.764,0.48,-0.229,0.422,
rnn_layers,-0.0048,0.121,-0.04,0.97,-0.315,0.306,
use_attention,0.071,0.125,0.569,0.594,-0.25,0.392,
use_price,0.0257,0.077,0.332,0.753,-0.173,0.225,
window_size,-0.2668,0.253,-1.054,0.34,-0.917,0.384,
"np.power(epochs, 2)",0.1077,0.108,0.995,0.365,-0.171,0.386,
"np.power(rnn_layers, 2)",-0.3318,0.312,-1.065,0.336,-1.133,0.469,
"np.power(dropout, 2)",-0.1719,0.146,-1.18,0.291,-0.546,0.202,
"np.power(linear_layers, 2)",0.2856,0.281,1.015,0.357,-0.438,1.009,
"np.power(window_size, 2)",-0.087,0.104,-0.838,0.44,-0.354,0.18,
"np.power(learning_rate, 2)",0.0364,0.101,0.362,0.732,-0.222,0.295,
