,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.3739,0.22,-1.699,0.15,-0.94,0.192,
model[T.yiyanghkust/finbert-tone],0.2562,0.238,1.077,0.331,-0.355,0.868,
source[T.Twitter],-0.0275,0.085,-0.323,0.76,-0.247,0.192,
dropout,0.0166,0.05,0.331,0.754,-0.112,0.145,
epochs,-0.0937,0.082,-1.148,0.303,-0.303,0.116,
learning_rate,0.1202,0.075,1.604,0.17,-0.072,0.313,
linear_layers,0.0807,0.068,1.181,0.291,-0.095,0.256,
rnn_layers,0.0436,0.065,0.668,0.533,-0.124,0.211,
use_attention,0.0569,0.067,0.843,0.438,-0.116,0.23,
use_price,-0.0562,0.042,-1.343,0.237,-0.164,0.051,
window_size,-0.1091,0.137,-0.798,0.461,-0.461,0.242,
"np.power(epochs, 2)",0.0528,0.058,0.903,0.408,-0.098,0.203,
"np.power(rnn_layers, 2)",-0.1089,0.168,-0.647,0.546,-0.542,0.324,
"np.power(dropout, 2)",-0.0475,0.079,-0.603,0.573,-0.25,0.155,
"np.power(linear_layers, 2)",0.165,0.152,1.085,0.328,-0.226,0.556,
"np.power(window_size, 2)",-0.0022,0.056,-0.04,0.97,-0.146,0.142,
"np.power(learning_rate, 2)",-0.0256,0.054,-0.472,0.657,-0.165,0.114,
