,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.4377,0.678,0.645,0.547,-1.306,2.182,
model[T.yiyanghkust/finbert-tone],0.4717,0.734,0.643,0.549,-1.414,2.357,
source[T.Twitter],0.0856,0.263,0.326,0.758,-0.59,0.761,
dropout,-0.0859,0.154,-0.557,0.601,-0.482,0.31,
epochs,-0.438,0.252,-1.741,0.142,-1.085,0.209,
learning_rate,0.0799,0.231,0.346,0.744,-0.514,0.674,
linear_layers,-0.1009,0.211,-0.479,0.652,-0.643,0.441,
rnn_layers,-0.0544,0.201,-0.27,0.798,-0.572,0.463,
use_attention,0.1939,0.208,0.933,0.394,-0.34,0.728,
use_price,0.1609,0.129,1.247,0.268,-0.171,0.493,
window_size,-0.3073,0.422,-0.729,0.499,-1.391,0.776,
"np.power(epochs, 2)",0.2127,0.18,1.18,0.291,-0.251,0.676,
"np.power(rnn_layers, 2)",-1.0028,0.519,-1.932,0.111,-2.337,0.331,
"np.power(dropout, 2)",-0.274,0.243,-1.13,0.31,-0.897,0.349,
"np.power(linear_layers, 2)",0.237,0.469,0.505,0.635,-0.968,1.442,
"np.power(window_size, 2)",0.0453,0.173,0.262,0.804,-0.399,0.49,
"np.power(learning_rate, 2)",0.2353,0.168,1.405,0.219,-0.195,0.666,
