,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-1306.6972,788.457,-1.657,0.158,-3333.491,720.096,
model[T.yiyanghkust/finbert-tone],1294.8882,852.448,1.519,0.189,-896.4,3486.177,
source[T.Twitter],489.5353,305.235,1.604,0.17,-295.097,1274.168,
dropout,62.3795,179.02,0.348,0.742,-397.807,522.566,
epochs,-183.5164,292.361,-0.628,0.558,-935.055,568.022,
learning_rate,73.3931,268.469,0.273,0.795,-616.728,763.514,
linear_layers,240.6254,244.847,0.983,0.371,-388.774,870.025,
rnn_layers,17.4662,233.842,0.075,0.943,-583.644,618.577,
use_attention,96.7291,241.534,0.4,0.705,-524.153,717.611,
use_price,69.131,149.949,0.461,0.664,-316.326,454.588,
window_size,-160.0686,489.886,-0.327,0.757,-1419.362,1099.225,
"np.power(epochs, 2)",129.3748,209.511,0.618,0.564,-409.19,667.94,
"np.power(rnn_layers, 2)",-164.0675,603.21,-0.272,0.797,-1714.668,1386.533,
"np.power(dropout, 2)",-134.0966,281.868,-0.476,0.654,-858.661,590.467,
"np.power(linear_layers, 2)",636.5728,544.822,1.168,0.295,-763.937,2037.082,
"np.power(window_size, 2)",383.2479,200.953,1.907,0.115,-133.317,899.813,
"np.power(learning_rate, 2)",83.8824,194.663,0.431,0.684,-416.515,584.28,
