,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.4504,0.031,14.633,0.0,0.39,0.511,***
dicts[T.LM+Vader],-0.1509,0.038,-3.943,0.0,-0.226,-0.076,***
dicts[T.Vader],0.0068,0.021,0.319,0.75,-0.035,0.049,
dicts[T.bert],0.0048,0.03,0.162,0.871,-0.053,0.063,
dicts[T.bert+LM],-0.1543,0.042,-3.706,0.0,-0.236,-0.072,***
dicts[T.bert+LM+Vader],-0.165,0.043,-3.814,0.0,-0.25,-0.08,***
source[T.Twitter],-0.1618,0.026,-6.267,0.0,-0.213,-0.111,***
dropout,-0.0424,0.015,-2.907,0.004,-0.071,-0.014,**
epochs,0.0322,0.017,1.914,0.057,-0.001,0.065,.
learning_rate,0.0128,0.013,0.988,0.324,-0.013,0.038,
linear_layers,0.001,0.011,0.094,0.925,-0.02,0.022,
rnn_layers,0.0068,0.009,0.754,0.451,-0.011,0.025,
use_attention,0.0119,0.009,1.357,0.176,-0.005,0.029,
use_price,0.0232,0.009,2.593,0.01,0.006,0.041,*
window_size,0.0264,0.011,2.338,0.02,0.004,0.049,*
"np.power(window_size, 2)",0.034,0.011,3.21,0.001,0.013,0.055,**
"np.power(dropout, 2)",0.0012,0.008,0.153,0.878,-0.015,0.017,
"np.power(linear_layers, 2)",0.0018,0.012,0.145,0.885,-0.022,0.026,
"np.power(rnn_layers, 2)",-0.0169,0.012,-1.458,0.146,-0.04,0.006,
"np.power(learning_rate, 2)",-0.0252,0.008,-3.292,0.001,-0.04,-0.01,**
"np.power(epochs, 2)",-0.017,0.012,-1.408,0.16,-0.041,0.007,
