,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-1.8688,1.203,-1.553,0.125,-4.267,0.529,
model[T.yiyanghkust/finbert-tone],1.2111,1.425,0.85,0.398,-1.629,4.051,
source[T.Twitter],2.5406,1.46,1.74,0.086,-0.369,5.45,.
dropout,1.0896,0.749,1.454,0.15,-0.404,2.583,
epochs,0.6788,0.884,0.768,0.445,-1.083,2.441,
freeze_bert,1.6319,0.804,2.029,0.046,0.029,3.235,*
learning_rate,0.9445,0.761,1.242,0.218,-0.571,2.461,
window_size,1.8855,0.908,2.075,0.041,0.075,3.696,*
"np.power(epochs, 2)",1.138,0.761,1.496,0.139,-0.378,2.654,
"np.power(dropout, 2)",-0.1659,0.83,-0.2,0.842,-1.821,1.489,
"np.power(freeze_bert, 2)",-1.5212,1.129,-1.348,0.182,-3.771,0.729,
"np.power(window_size, 2)",1.1273,1.081,1.043,0.3,-1.026,3.281,
"np.power(learning_rate, 2)",0.4045,1.247,0.324,0.747,-2.081,2.89,
