,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.0157,0.03,0.517,0.607,-0.045,0.076,
model[T.yiyanghkust/finbert-tone],-0.1264,0.036,-3.515,0.001,-0.198,-0.055,**
source[T.Twitter],-0.1056,0.037,-2.865,0.005,-0.179,-0.032,**
dropout,-0.0154,0.019,-0.813,0.419,-0.053,0.022,
epochs,-0.0192,0.022,-0.86,0.393,-0.064,0.025,
freeze_bert,-0.0759,0.02,-3.737,0.0,-0.116,-0.035,***
learning_rate,-0.0129,0.019,-0.674,0.502,-0.051,0.025,
window_size,-0.0042,0.023,-0.182,0.856,-0.05,0.042,
"np.power(epochs, 2)",-0.0301,0.019,-1.568,0.121,-0.068,0.008,
"np.power(dropout, 2)",0.0656,0.021,3.127,0.003,0.024,0.107,**
"np.power(freeze_bert, 2)",-0.0005,0.028,-0.016,0.987,-0.057,0.056,
"np.power(window_size, 2)",0.0227,0.027,0.832,0.408,-0.032,0.077,
"np.power(learning_rate, 2)",-0.0118,0.031,-0.375,0.708,-0.075,0.051,
