,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.1988,0.01,-19.247,0.0,-0.219,-0.178,***
model[T.yiyanghkust/finbert-tone],-0.0398,0.012,-3.256,0.002,-0.064,-0.015,**
source[T.Twitter],0.0121,0.013,0.968,0.336,-0.013,0.037,
dropout,0.0098,0.006,1.521,0.133,-0.003,0.023,
epochs,-0.0035,0.008,-0.464,0.644,-0.019,0.012,
freeze_bert,-0.0084,0.007,-1.217,0.227,-0.022,0.005,
learning_rate,-0.0007,0.007,-0.112,0.911,-0.014,0.012,
window_size,-0.0054,0.008,-0.693,0.491,-0.021,0.01,
"np.power(epochs, 2)",-0.013,0.007,-1.985,0.051,-0.026,5.43e-05,.
"np.power(dropout, 2)",0.0172,0.007,2.411,0.018,0.003,0.031,*
"np.power(freeze_bert, 2)",-0.2006,0.01,-20.7,0.0,-0.22,-0.181,***
"np.power(window_size, 2)",0.0036,0.009,0.385,0.701,-0.015,0.022,
"np.power(learning_rate, 2)",0.0028,0.011,0.259,0.797,-0.019,0.024,
