,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.0618,0.059,1.039,0.302,-0.057,0.18,
model[T.yiyanghkust/finbert-tone],-0.2898,0.07,-4.115,0.0,-0.43,-0.149,***
source[T.Twitter],-0.2629,0.072,-3.642,0.001,-0.407,-0.119,**
dropout,-0.0157,0.037,-0.424,0.672,-0.09,0.058,
epochs,-0.0324,0.044,-0.741,0.461,-0.12,0.055,
freeze_bert,-0.1282,0.04,-3.224,0.002,-0.207,-0.049,**
learning_rate,-0.021,0.038,-0.558,0.579,-0.096,0.054,
window_size,-0.0201,0.045,-0.449,0.655,-0.11,0.069,
"np.power(epochs, 2)",-0.047,0.038,-1.251,0.215,-0.122,0.028,
"np.power(dropout, 2)",0.0949,0.041,2.311,0.024,0.013,0.177,*
"np.power(freeze_bert, 2)",0.0345,0.056,0.619,0.538,-0.077,0.146,
"np.power(window_size, 2)",0.0311,0.053,0.582,0.562,-0.075,0.138,
"np.power(learning_rate, 2)",0.004,0.062,0.065,0.948,-0.119,0.127,
