,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-2.3132,1.421,-1.628,0.108,-5.144,0.518,
model[T.yiyanghkust/finbert-tone],1.4453,1.682,0.859,0.393,-1.908,4.798,
source[T.Twitter],3.0212,1.724,1.753,0.084,-0.414,6.456,.
dropout,1.3074,0.885,1.478,0.144,-0.456,3.071,
epochs,0.7892,1.044,0.756,0.452,-1.291,2.869,
freeze_bert,1.9552,0.95,2.059,0.043,0.063,3.848,*
learning_rate,1.1473,0.898,1.278,0.205,-0.642,2.937,
window_size,2.2648,1.073,2.112,0.038,0.127,4.402,*
"np.power(epochs, 2)",1.3486,0.898,1.501,0.138,-0.442,3.139,
"np.power(dropout, 2)",-0.2179,0.98,-0.222,0.825,-2.172,1.736,
"np.power(freeze_bert, 2)",-1.8968,1.333,-1.423,0.159,-4.553,0.759,
"np.power(window_size, 2)",1.3237,1.276,1.037,0.303,-1.219,3.866,
"np.power(learning_rate, 2)",0.4836,1.472,0.328,0.744,-2.451,3.418,
