,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-5905.019,11400.0,-0.519,0.605,-28600.0,16800.0,
source[T.Twitter],15160.0,7791.112,1.945,0.056,-423.347,30700.0,.
dropout,3349.299,5223.727,0.641,0.524,-7096.188,13800.0,
epochs,-5383.7347,5295.263,-1.017,0.313,-16000.0,5204.798,
learning_rate,1835.3584,3843.887,0.477,0.635,-5850.968,9521.685,
linear_layers,-7589.2334,5557.41,-1.366,0.177,-18700.0,3523.494,
n_head,4824.6579,5190.357,0.93,0.356,-5554.102,15200.0,
rnn_layers,6057.8912,5564.52,1.089,0.281,-5069.054,17200.0,
transformer_layers,2431.745,4989.996,0.487,0.628,-7546.368,12400.0,
use_attention,-2463.8704,3852.997,-0.639,0.525,-10200.0,5240.673,
use_price,2194.1502,3817.765,0.575,0.568,-5439.942,9828.243,
window_size,-4363.2664,3980.193,-1.096,0.277,-12300.0,3595.621,
"np.power(epochs, 2)",308.5283,3938.457,0.078,0.938,-7566.903,8183.96,
"np.power(transformer_layers, 2)",3556.7984,5150.143,0.691,0.492,-6741.55,13900.0,
"np.power(n_head, 2)",-1332.4863,3684.93,-0.362,0.719,-8700.959,6035.987,
"np.power(rnn_layers, 2)",584.7432,5053.872,0.116,0.908,-9521.099,10700.0,
"np.power(dropout, 2)",1206.3016,3722.138,0.324,0.747,-6236.573,8649.176,
"np.power(linear_layers, 2)",4396.7722,4236.132,1.038,0.303,-4073.897,12900.0,
"np.power(window_size, 2)",-2371.856,5576.385,-0.425,0.672,-13500.0,8778.814,
"np.power(learning_rate, 2)",-3541.5302,4269.687,-0.829,0.41,-12100.0,4996.237,
