,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.0164,0.081,-0.202,0.841,-0.179,0.146,
source[T.Twitter],-0.0807,0.056,-1.45,0.152,-0.192,0.031,
dropout,0.0034,0.037,0.091,0.928,-0.071,0.078,
epochs,-0.0604,0.038,-1.596,0.116,-0.136,0.015,
learning_rate,-0.0515,0.027,-1.873,0.066,-0.106,0.003,.
linear_layers,-0.0331,0.04,-0.832,0.408,-0.113,0.046,
n_head,-0.0342,0.037,-0.922,0.36,-0.108,0.04,
rnn_layers,-0.0433,0.04,-1.089,0.28,-0.123,0.036,
transformer_layers,-0.0248,0.036,-0.695,0.49,-0.096,0.047,
use_attention,-0.0081,0.028,-0.293,0.771,-0.063,0.047,
use_price,-0.0317,0.027,-1.161,0.25,-0.086,0.023,
window_size,-0.0055,0.028,-0.195,0.846,-0.062,0.051,
"np.power(epochs, 2)",-0.0221,0.028,-0.786,0.435,-0.078,0.034,
"np.power(transformer_layers, 2)",-0.0216,0.037,-0.586,0.56,-0.095,0.052,
"np.power(n_head, 2)",0.034,0.026,1.291,0.202,-0.019,0.087,
"np.power(rnn_layers, 2)",0.0031,0.036,0.087,0.931,-0.069,0.075,
"np.power(dropout, 2)",-0.0202,0.027,-0.76,0.45,-0.073,0.033,
"np.power(linear_layers, 2)",0.0153,0.03,0.505,0.616,-0.045,0.076,
"np.power(window_size, 2)",0.0077,0.04,0.192,0.848,-0.072,0.087,
"np.power(learning_rate, 2)",0.0464,0.031,1.521,0.133,-0.015,0.107,
