,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.3264,0.038,-8.586,0.0,-0.402,-0.25,***
source[T.Twitter],-0.0316,0.026,-1.214,0.229,-0.084,0.02,
dropout,0.0319,0.017,1.828,0.072,-0.003,0.067,.
epochs,-0.0356,0.018,-2.013,0.049,-0.071,-0.0,*
learning_rate,0.0672,0.013,5.228,0.0,0.041,0.093,***
linear_layers,0.0147,0.019,0.79,0.433,-0.022,0.052,
n_head,-0.0062,0.017,-0.358,0.722,-0.041,0.028,
rnn_layers,0.0339,0.019,1.824,0.073,-0.003,0.071,.
transformer_layers,0.0523,0.017,3.134,0.003,0.019,0.086,**
use_attention,-0.0052,0.013,-0.407,0.685,-0.031,0.021,
use_price,-0.0741,0.013,-5.805,0.0,-0.1,-0.049,***
window_size,-0.0086,0.013,-0.643,0.523,-0.035,0.018,
"np.power(epochs, 2)",-0.0079,0.013,-0.604,0.548,-0.034,0.018,
"np.power(transformer_layers, 2)",-0.0381,0.017,-2.216,0.03,-0.073,-0.004,*
"np.power(n_head, 2)",0.0218,0.012,1.773,0.081,-0.003,0.046,.
"np.power(rnn_layers, 2)",0.005,0.017,0.297,0.768,-0.029,0.039,
"np.power(dropout, 2)",0.0067,0.012,0.541,0.591,-0.018,0.032,
"np.power(linear_layers, 2)",0.0002,0.014,0.014,0.989,-0.028,0.029,
"np.power(window_size, 2)",0.0056,0.019,0.302,0.763,-0.032,0.043,
"np.power(learning_rate, 2)",-0.0174,0.014,-1.22,0.227,-0.046,0.011,
