,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.0718,0.156,-0.459,0.648,-0.384,0.241,
source[T.Twitter],-0.0543,0.107,-0.508,0.613,-0.268,0.16,
dropout,0.0466,0.072,0.649,0.519,-0.097,0.19,
epochs,-0.1586,0.073,-2.18,0.033,-0.304,-0.013,*
learning_rate,-0.1053,0.053,-1.995,0.05,-0.211,0.0,.
linear_layers,-0.1003,0.076,-1.315,0.194,-0.253,0.052,
n_head,-0.0212,0.071,-0.297,0.768,-0.164,0.121,
rnn_layers,-0.0738,0.076,-0.966,0.338,-0.227,0.079,
transformer_layers,-0.0459,0.069,-0.67,0.505,-0.183,0.091,
use_attention,0.0495,0.053,0.935,0.354,-0.056,0.155,
use_price,-0.1007,0.052,-1.92,0.06,-0.206,0.004,.
window_size,-0.0047,0.055,-0.086,0.932,-0.114,0.105,
"np.power(epochs, 2)",-0.0006,0.054,-0.012,0.991,-0.109,0.108,
"np.power(transformer_layers, 2)",-0.0366,0.071,-0.518,0.606,-0.178,0.105,
"np.power(n_head, 2)",0.0508,0.051,1.004,0.32,-0.05,0.152,
"np.power(rnn_layers, 2)",0.0218,0.069,0.314,0.755,-0.117,0.161,
"np.power(dropout, 2)",-0.0134,0.051,-0.263,0.794,-0.116,0.089,
"np.power(linear_layers, 2)",0.0359,0.058,0.618,0.539,-0.08,0.152,
"np.power(window_size, 2)",0.0048,0.077,0.063,0.95,-0.148,0.158,
"np.power(learning_rate, 2)",0.0595,0.059,1.015,0.314,-0.058,0.177,
