,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-6992.0975,13500.0,-0.519,0.605,-33900.0,19900.0,
source[T.Twitter],17950.0,9225.591,1.945,0.056,-500.453,36400.0,.
dropout,3965.6956,6185.505,0.641,0.524,-8402.987,16300.0,
epochs,-6374.4295,6270.213,-1.017,0.313,-18900.0,6163.636,
learning_rate,2173.4994,4551.613,0.478,0.635,-6928.013,11300.0,
linear_layers,-8985.7537,6580.625,-1.365,0.177,-22100.0,4173.02,
n_head,5712.4538,6145.992,0.929,0.356,-6577.216,18000.0,
rnn_layers,7173.5884,6589.045,1.089,0.281,-6002.02,20300.0,
transformer_layers,2879.5819,5908.741,0.487,0.628,-8935.675,14700.0,
use_attention,-2917.107,4562.4,-0.639,0.525,-12000.0,6205.976,
use_price,2598.0086,4520.682,0.575,0.568,-6441.653,11600.0,
window_size,-5166.8051,4713.016,-1.096,0.277,-14600.0,4257.452,
"np.power(epochs, 2)",364.8917,4663.595,0.078,0.938,-8960.543,9690.327,
"np.power(transformer_layers, 2)",4211.5156,6098.374,0.691,0.492,-7982.938,16400.0,
"np.power(n_head, 2)",-1577.6383,4363.39,-0.362,0.719,-10300.0,7147.499,
"np.power(rnn_layers, 2)",692.362,5984.378,0.116,0.908,-11300.0,12700.0,
"np.power(dropout, 2)",1429.1222,4407.448,0.324,0.747,-7384.115,10200.0,
"np.power(linear_layers, 2)",5205.5715,5016.077,1.038,0.303,-4824.695,15200.0,
"np.power(window_size, 2)",-2808.6004,6603.094,-0.425,0.672,-16000.0,10400.0,
"np.power(learning_rate, 2)",-4193.3972,5055.811,-0.829,0.41,-14300.0,5916.322,
