,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-3.274,3.823,-0.856,0.397,-10.984,4.436,
source[T.Twitter],1.0311,1.981,0.521,0.605,-2.963,5.026,
dropout,-0.8348,1.042,-0.801,0.427,-2.936,1.267,
epochs,1.4435,1.143,1.263,0.213,-0.861,3.748,
learning_rate,0.611,0.888,0.688,0.495,-1.181,2.403,
linear_layers,-0.5293,1.399,-0.378,0.707,-3.351,2.292,
n_head,0.3695,1.213,0.305,0.762,-2.077,2.816,
transformer_layers,1.0953,1.327,0.825,0.414,-1.581,3.772,
use_attention,1.4017,0.97,1.444,0.156,-0.555,3.359,
use_price,0.3777,0.974,0.388,0.7,-1.587,2.342,
window_size,-0.0737,0.924,-0.08,0.937,-1.938,1.791,
"np.power(transformer_layers, 2)",0.2159,1.152,0.187,0.852,-2.107,2.539,
"np.power(epochs, 2)",0.2477,1.554,0.159,0.874,-2.885,3.381,
"np.power(n_head, 2)",0.6754,1.388,0.486,0.629,-2.125,3.476,
"np.power(dropout, 2)",0.5872,1.228,0.478,0.635,-1.889,3.064,
"np.power(linear_layers, 2)",1.6951,1.297,1.307,0.198,-0.921,4.311,
"np.power(window_size, 2)",0.3795,1.043,0.364,0.718,-1.723,2.482,
"np.power(learning_rate, 2)",0.292,1.219,0.24,0.812,-2.166,2.75,
