,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.0208,0.114,-0.182,0.857,-0.252,0.21,
source[T.Twitter],-0.0817,0.059,-1.377,0.176,-0.201,0.038,
dropout,0.0191,0.031,0.613,0.543,-0.044,0.082,
epochs,0.0539,0.034,1.576,0.122,-0.015,0.123,
learning_rate,-0.007,0.027,-0.264,0.793,-0.061,0.047,
linear_layers,-0.0534,0.042,-1.273,0.21,-0.138,0.031,
n_head,0.0103,0.036,0.283,0.778,-0.063,0.084,
transformer_layers,-0.058,0.04,-1.459,0.152,-0.138,0.022,
use_attention,-0.0549,0.029,-1.89,0.066,-0.114,0.004,.
use_price,-0.0022,0.029,-0.075,0.94,-0.061,0.057,
window_size,-7.405e-05,0.028,-0.003,0.998,-0.056,0.056,
"np.power(transformer_layers, 2)",0.0382,0.034,1.109,0.274,-0.031,0.108,
"np.power(epochs, 2)",-0.0506,0.047,-1.087,0.283,-0.144,0.043,
"np.power(n_head, 2)",-0.0135,0.042,-0.324,0.748,-0.097,0.07,
"np.power(dropout, 2)",-0.0087,0.037,-0.236,0.815,-0.083,0.065,
"np.power(linear_layers, 2)",0.0301,0.039,0.776,0.442,-0.048,0.108,
"np.power(window_size, 2)",0.0304,0.031,0.973,0.336,-0.033,0.093,
"np.power(learning_rate, 2)",0.0423,0.037,1.159,0.253,-0.031,0.116,
