,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.3195,0.051,-6.317,0.0,-0.421,-0.217,***
source[T.Twitter],-0.0281,0.026,-1.073,0.289,-0.081,0.025,
dropout,-0.0249,0.014,-1.805,0.078,-0.053,0.003,.
epochs,0.0255,0.015,1.686,0.099,-0.005,0.056,.
learning_rate,0.0476,0.012,4.048,0.0,0.024,0.071,***
linear_layers,0.0266,0.019,1.437,0.158,-0.011,0.064,
n_head,-0.0016,0.016,-0.099,0.922,-0.034,0.031,
transformer_layers,0.0136,0.018,0.773,0.444,-0.022,0.049,
use_attention,0.0008,0.013,0.06,0.952,-0.025,0.027,
use_price,-0.0405,0.013,-3.141,0.003,-0.066,-0.014,**
window_size,-0.0188,0.012,-1.535,0.132,-0.043,0.006,
"np.power(transformer_layers, 2)",0.0132,0.015,0.866,0.391,-0.018,0.044,
"np.power(epochs, 2)",-0.0024,0.021,-0.118,0.906,-0.044,0.039,
"np.power(n_head, 2)",-0.019,0.018,-1.035,0.306,-0.056,0.018,
"np.power(dropout, 2)",-0.006,0.016,-0.367,0.716,-0.039,0.027,
"np.power(linear_layers, 2)",0.0096,0.017,0.561,0.577,-0.025,0.044,
"np.power(window_size, 2)",0.0171,0.014,1.239,0.222,-0.011,0.045,
"np.power(learning_rate, 2)",-0.0209,0.016,-1.294,0.203,-0.053,0.012,
