,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.0077,0.243,-0.031,0.975,-0.498,0.483,
source[T.Twitter],-0.1919,0.126,-1.522,0.135,-0.446,0.062,
dropout,0.0769,0.066,1.159,0.253,-0.057,0.211,
epochs,0.0478,0.073,0.658,0.514,-0.099,0.195,
learning_rate,0.0109,0.057,0.193,0.848,-0.103,0.125,
linear_layers,-0.1449,0.089,-1.628,0.111,-0.324,0.035,
n_head,-0.0648,0.077,-0.839,0.406,-0.221,0.091,
transformer_layers,-0.1652,0.084,-1.956,0.057,-0.336,0.005,.
use_attention,-0.0702,0.062,-1.136,0.262,-0.195,0.054,
use_price,-0.0212,0.062,-0.342,0.734,-0.146,0.104,
window_size,-0.0018,0.059,-0.03,0.976,-0.12,0.117,
"np.power(transformer_layers, 2)",0.0846,0.073,1.155,0.255,-0.063,0.232,
"np.power(epochs, 2)",-0.0643,0.099,-0.651,0.519,-0.264,0.135,
"np.power(n_head, 2)",-0.0339,0.088,-0.384,0.703,-0.212,0.144,
"np.power(dropout, 2)",-0.1209,0.078,-1.547,0.129,-0.279,0.037,
"np.power(linear_layers, 2)",0.1746,0.083,2.115,0.04,0.008,0.341,*
"np.power(window_size, 2)",0.0332,0.066,0.501,0.619,-0.101,0.167,
"np.power(learning_rate, 2)",0.0592,0.078,0.763,0.45,-0.097,0.216,
