,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-3.9019,4.438,-0.879,0.384,-12.851,5.047,
source[T.Twitter],1.3473,2.299,0.586,0.561,-3.289,5.984,
dropout,-0.9389,1.209,-0.776,0.442,-3.378,1.5,
epochs,1.6124,1.326,1.216,0.231,-1.062,4.287,
learning_rate,0.7215,1.031,0.7,0.488,-1.358,2.801,
linear_layers,-0.5889,1.624,-0.363,0.719,-3.864,2.686,
n_head,0.3673,1.408,0.261,0.796,-2.473,3.207,
transformer_layers,1.2637,1.54,0.82,0.417,-1.843,4.37,
use_attention,1.6763,1.126,1.488,0.144,-0.595,3.948,
use_price,0.3998,1.131,0.354,0.725,-1.88,2.68,
window_size,-0.0153,1.073,-0.014,0.989,-2.179,2.149,
"np.power(transformer_layers, 2)",0.2985,1.337,0.223,0.824,-2.398,2.995,
"np.power(epochs, 2)",0.2894,1.803,0.16,0.873,-3.347,3.926,
"np.power(n_head, 2)",0.7689,1.612,0.477,0.636,-2.481,4.019,
"np.power(dropout, 2)",0.5579,1.425,0.391,0.697,-2.317,3.432,
"np.power(linear_layers, 2)",2.0212,1.506,1.342,0.187,-1.016,5.058,
"np.power(window_size, 2)",0.4471,1.21,0.369,0.714,-1.994,2.888,
"np.power(learning_rate, 2)",0.2573,1.415,0.182,0.857,-2.596,3.111,
