,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.6497,0.456,1.423,0.158,-0.257,1.556,
source[T.Twitter],-0.0085,0.261,-0.032,0.974,-0.526,0.509,
dropout,0.01,0.134,0.075,0.941,-0.256,0.276,
epochs,0.0866,0.133,0.652,0.516,-0.177,0.35,
learning_rate,0.0052,0.124,0.042,0.967,-0.241,0.251,
linear_layers,-0.0934,0.122,-0.764,0.447,-0.336,0.149,
rnn_layers,0.1416,0.124,1.139,0.257,-0.105,0.388,
use_attention,0.0399,0.125,0.319,0.751,-0.209,0.288,
use_price,0.0034,0.13,0.026,0.979,-0.254,0.261,
window_size,-0.0214,0.124,-0.173,0.863,-0.268,0.225,
"np.power(epochs, 2)",0.0377,0.173,0.219,0.827,-0.305,0.38,
"np.power(rnn_layers, 2)",0.1054,0.146,0.723,0.471,-0.184,0.395,
"np.power(dropout, 2)",-0.069,0.13,-0.533,0.596,-0.326,0.188,
"np.power(linear_layers, 2)",-0.0224,0.18,-0.125,0.901,-0.38,0.335,
"np.power(window_size, 2)",-0.1383,0.171,-0.81,0.42,-0.477,0.201,
"np.power(learning_rate, 2)",-0.1868,0.135,-1.387,0.169,-0.454,0.081,
