,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.0024,0.077,0.032,0.975,-0.151,0.156,
source[T.Twitter],-0.0283,0.044,-0.642,0.522,-0.116,0.059,
dropout,0.0214,0.023,0.943,0.348,-0.024,0.066,
epochs,0.0028,0.022,0.126,0.9,-0.042,0.047,
learning_rate,0.0051,0.021,0.245,0.807,-0.036,0.047,
linear_layers,0.0147,0.021,0.712,0.478,-0.026,0.056,
rnn_layers,0.0021,0.021,0.102,0.919,-0.04,0.044,
use_attention,0.0255,0.021,1.202,0.232,-0.017,0.068,
use_price,-0.0086,0.022,-0.392,0.696,-0.052,0.035,
window_size,0.0302,0.021,1.438,0.154,-0.011,0.072,
"np.power(epochs, 2)",0.0263,0.029,0.901,0.37,-0.032,0.084,
"np.power(rnn_layers, 2)",0.0095,0.025,0.386,0.7,-0.039,0.058,
"np.power(dropout, 2)",-0.0029,0.022,-0.134,0.894,-0.047,0.041,
"np.power(linear_layers, 2)",-0.003,0.03,-0.098,0.922,-0.063,0.058,
"np.power(window_size, 2)",0.0243,0.029,0.84,0.403,-0.033,0.082,
"np.power(learning_rate, 2)",-0.0364,0.023,-1.595,0.114,-0.082,0.009,
