,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.3805,0.038,-10.009,0.0,-0.456,-0.305,***
source[T.Twitter],0.0132,0.022,0.607,0.545,-0.03,0.056,
dropout,0.0093,0.011,0.835,0.406,-0.013,0.031,
epochs,0.0491,0.011,4.441,0.0,0.027,0.071,***
learning_rate,0.04,0.01,3.874,0.0,0.019,0.06,***
linear_layers,0.0403,0.01,3.958,0.0,0.02,0.06,***
rnn_layers,0.0269,0.01,2.6,0.011,0.006,0.047,*
use_attention,-0.0049,0.01,-0.466,0.643,-0.026,0.016,
use_price,-0.0214,0.011,-1.978,0.051,-0.043,8.01e-05,.
window_size,0.0225,0.01,2.178,0.032,0.002,0.043,*
"np.power(epochs, 2)",0.006,0.014,0.415,0.679,-0.023,0.035,
"np.power(rnn_layers, 2)",-0.0061,0.012,-0.503,0.616,-0.03,0.018,
"np.power(dropout, 2)",0.0098,0.011,0.906,0.367,-0.012,0.031,
"np.power(linear_layers, 2)",0.0128,0.015,0.852,0.396,-0.017,0.043,
"np.power(window_size, 2)",0.0033,0.014,0.233,0.816,-0.025,0.032,
"np.power(learning_rate, 2)",-0.0158,0.011,-1.405,0.163,-0.038,0.007,
