,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.0301,0.142,-0.211,0.833,-0.313,0.253,
source[T.Twitter],-0.0382,0.081,-0.469,0.64,-0.2,0.123,
dropout,0.0756,0.042,1.81,0.074,-0.007,0.159,.
epochs,0.017,0.041,0.411,0.682,-0.065,0.099,
learning_rate,-0.0019,0.039,-0.048,0.962,-0.079,0.075,
linear_layers,0.0133,0.038,0.349,0.728,-0.062,0.089,
rnn_layers,0.005,0.039,0.128,0.899,-0.072,0.082,
use_attention,0.0486,0.039,1.244,0.217,-0.029,0.126,
use_price,0.0143,0.04,0.353,0.725,-0.066,0.095,
window_size,0.0506,0.039,1.308,0.194,-0.026,0.127,
"np.power(epochs, 2)",0.0482,0.054,0.894,0.374,-0.059,0.155,
"np.power(rnn_layers, 2)",-0.0073,0.045,-0.161,0.873,-0.098,0.083,
"np.power(dropout, 2)",0.0042,0.04,0.103,0.918,-0.076,0.084,
"np.power(linear_layers, 2)",0.0227,0.056,0.403,0.688,-0.089,0.134,
"np.power(window_size, 2)",0.0769,0.053,1.444,0.152,-0.029,0.183,
"np.power(learning_rate, 2)",-0.0482,0.042,-1.146,0.255,-0.132,0.035,
