,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.5701,0.531,1.073,0.286,-0.485,1.626,
source[T.Twitter],0.1876,0.304,0.618,0.538,-0.415,0.79,
dropout,0.0117,0.156,0.075,0.94,-0.298,0.321,
epochs,0.129,0.155,0.834,0.406,-0.178,0.436,
learning_rate,0.0646,0.144,0.448,0.655,-0.222,0.351,
linear_layers,-0.0977,0.142,-0.687,0.494,-0.38,0.185,
rnn_layers,0.2032,0.145,1.404,0.164,-0.084,0.491,
use_attention,0.041,0.146,0.281,0.779,-0.248,0.33,
use_price,0.0391,0.151,0.259,0.796,-0.261,0.339,
window_size,-0.0184,0.144,-0.127,0.899,-0.305,0.268,
"np.power(epochs, 2)",0.0561,0.201,0.279,0.781,-0.343,0.455,
"np.power(rnn_layers, 2)",0.1108,0.17,0.653,0.515,-0.226,0.448,
"np.power(dropout, 2)",-0.0634,0.151,-0.42,0.676,-0.363,0.236,
"np.power(linear_layers, 2)",-0.0009,0.21,-0.004,0.997,-0.417,0.415,
"np.power(window_size, 2)",-0.1872,0.199,-0.942,0.349,-0.582,0.208,
"np.power(learning_rate, 2)",-0.2418,0.157,-1.541,0.127,-0.553,0.07,
