,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.8351,0.056,32.97,0.0,1.726,1.945,***
source[T.Twitter],-0.6762,0.168,-4.014,0.0,-1.007,-0.345,***
dropout,-0.0963,0.026,-3.654,0.0,-0.148,-0.044,***
epochs,0.2171,0.058,3.73,0.0,0.103,0.332,***
learning_rate,0.0278,0.027,1.013,0.312,-0.026,0.082,
linear_layers,0.0063,0.029,0.215,0.83,-0.051,0.064,
rnn_layers,-0.0841,0.025,-3.424,0.001,-0.132,-0.036,**
use_attention,0.0152,0.023,0.65,0.516,-0.031,0.061,
use_price,0.2785,0.026,10.596,0.0,0.227,0.33,***
window_size,-0.5892,0.042,-14.083,0.0,-0.671,-0.507,***
"np.power(epochs, 2)",0.0102,0.025,0.413,0.68,-0.039,0.059,
"np.power(rnn_layers, 2)",-0.0055,0.026,-0.214,0.83,-0.056,0.045,
"np.power(dropout, 2)",-0.015,0.019,-0.792,0.429,-0.052,0.022,
"np.power(linear_layers, 2)",-0.061,0.025,-2.468,0.014,-0.11,-0.012,*
"np.power(window_size, 2)",0.101,0.012,8.156,0.0,0.077,0.125,***
"np.power(learning_rate, 2)",-0.1112,0.022,-4.965,0.0,-0.155,-0.067,***
