,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.6102,0.017,35.953,0.0,0.577,0.644,***
source[T.Twitter],-0.2287,0.051,-4.453,0.0,-0.33,-0.128,***
dropout,-0.0145,0.008,-1.803,0.072,-0.03,0.001,.
epochs,0.0524,0.018,2.951,0.003,0.017,0.087,**
learning_rate,-0.0108,0.008,-1.299,0.195,-0.027,0.006,
linear_layers,-0.0067,0.009,-0.746,0.456,-0.024,0.011,
rnn_layers,-0.0203,0.007,-2.706,0.007,-0.035,-0.006,**
use_attention,0.0057,0.007,0.794,0.428,-0.008,0.02,
use_price,0.0833,0.008,10.387,0.0,0.067,0.099,***
window_size,-0.1703,0.013,-13.347,0.0,-0.195,-0.145,***
"np.power(epochs, 2)",0.0001,0.008,0.019,0.985,-0.015,0.015,
"np.power(rnn_layers, 2)",-0.0271,0.008,-3.443,0.001,-0.043,-0.012,**
"np.power(dropout, 2)",-0.0081,0.006,-1.399,0.163,-0.019,0.003,
"np.power(linear_layers, 2)",-0.0129,0.008,-1.709,0.088,-0.028,0.002,.
"np.power(window_size, 2)",0.0265,0.004,7.006,0.0,0.019,0.034,***
"np.power(learning_rate, 2)",-0.0299,0.007,-4.377,0.0,-0.043,-0.016,***
