,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.3759,0.003,-133.416,0.0,-0.381,-0.37,***
source[T.Twitter],-0.0168,0.009,-1.974,0.049,-0.034,-6.79e-05,*
dropout,0.0034,0.001,2.535,0.012,0.001,0.006,*
epochs,0.0036,0.003,1.234,0.218,-0.002,0.009,
learning_rate,0.0034,0.001,2.423,0.016,0.001,0.006,*
linear_layers,-0.0079,0.001,-5.326,0.0,-0.011,-0.005,***
rnn_layers,-0.0011,0.001,-0.92,0.358,-0.004,0.001,
use_attention,0.0022,0.001,1.818,0.07,-0.0,0.004,.
use_price,0.0029,0.001,2.202,0.028,0.0,0.006,*
window_size,-0.0107,0.002,-5.039,0.0,-0.015,-0.007,***
"np.power(epochs, 2)",-0.0014,0.001,-1.119,0.264,-0.004,0.001,
"np.power(rnn_layers, 2)",0.0036,0.001,2.777,0.006,0.001,0.006,**
"np.power(dropout, 2)",-0.0009,0.001,-0.954,0.341,-0.003,0.001,
"np.power(linear_layers, 2)",0.0018,0.001,1.454,0.147,-0.001,0.004,
"np.power(window_size, 2)",0.0013,0.001,2.011,0.045,2.83e-05,0.002,*
"np.power(learning_rate, 2)",-0.0042,0.001,-3.702,0.0,-0.006,-0.002,***
