,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.9661,0.018,53.305,0.0,0.93,1.002,***
source[T.Twitter],-0.2267,0.055,-4.133,0.0,-0.335,-0.119,***
dropout,-0.0184,0.009,-2.147,0.032,-0.035,-0.002,*
epochs,0.0595,0.019,3.141,0.002,0.022,0.097,**
learning_rate,-0.0154,0.009,-1.731,0.084,-0.033,0.002,.
linear_layers,-0.0406,0.01,-4.254,0.0,-0.059,-0.022,***
rnn_layers,-0.0312,0.008,-3.897,0.0,-0.047,-0.015,***
use_attention,0.0067,0.008,0.879,0.38,-0.008,0.022,
use_price,0.0655,0.009,7.655,0.0,0.049,0.082,***
window_size,-0.1648,0.014,-12.093,0.0,-0.192,-0.138,***
"np.power(epochs, 2)",-0.0028,0.008,-0.347,0.728,-0.019,0.013,
"np.power(rnn_layers, 2)",-0.0058,0.008,-0.693,0.489,-0.022,0.011,
"np.power(dropout, 2)",-0.0121,0.006,-1.961,0.051,-0.024,3.05e-05,.
"np.power(linear_layers, 2)",0.0025,0.008,0.308,0.758,-0.013,0.018,
"np.power(window_size, 2)",0.021,0.004,5.195,0.0,0.013,0.029,***
"np.power(learning_rate, 2)",-0.0414,0.007,-5.677,0.0,-0.056,-0.027,***
