,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.5741,0.031,51.389,0.0,1.514,1.634,***
source[T.Twitter],-0.4221,0.093,-4.553,0.0,-0.604,-0.24,***
dropout,-0.0369,0.015,-2.542,0.011,-0.065,-0.008,*
epochs,0.1019,0.032,3.18,0.002,0.039,0.165,**
learning_rate,-0.0134,0.015,-0.886,0.376,-0.043,0.016,
linear_layers,-0.0502,0.016,-3.109,0.002,-0.082,-0.018,**
rnn_layers,-0.0547,0.014,-4.043,0.0,-0.081,-0.028,***
use_attention,0.0128,0.013,0.992,0.322,-0.013,0.038,
use_price,0.1441,0.014,9.958,0.0,0.116,0.172,***
window_size,-0.32,0.023,-13.899,0.0,-0.365,-0.275,***
"np.power(epochs, 2)",-0.0047,0.014,-0.341,0.733,-0.031,0.022,
"np.power(rnn_layers, 2)",-0.0197,0.014,-1.386,0.166,-0.048,0.008,
"np.power(dropout, 2)",-0.0186,0.01,-1.787,0.075,-0.039,0.002,.
"np.power(linear_layers, 2)",-0.0092,0.014,-0.674,0.501,-0.036,0.018,
"np.power(window_size, 2)",0.0455,0.007,6.682,0.0,0.032,0.059,***
"np.power(learning_rate, 2)",-0.0698,0.012,-5.666,0.0,-0.094,-0.046,***
