,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.041,0.042,0.985,0.325,-0.041,0.123,
source[T.Twitter],-0.0828,0.031,-2.631,0.009,-0.145,-0.021,**
dropout,0.0064,0.014,0.468,0.64,-0.02,0.033,
epochs,-0.0179,0.015,-1.208,0.228,-0.047,0.011,
learning_rate,-0.1598,0.02,-8.084,0.0,-0.199,-0.121,***
linear_layers,0.0201,0.016,1.298,0.195,-0.01,0.051,
n_head,-0.0161,0.018,-0.889,0.375,-0.052,0.02,
rnn_layers,-0.0009,0.021,-0.041,0.967,-0.043,0.041,
transformer_layers,0.0035,0.018,0.196,0.845,-0.031,0.038,
use_attention,0.0018,0.013,0.134,0.894,-0.025,0.028,
use_price,-0.0097,0.013,-0.726,0.468,-0.036,0.017,
window_size,-0.0183,0.013,-1.363,0.174,-0.045,0.008,
"np.power(dropout, 2)",-0.0137,0.013,-1.077,0.282,-0.039,0.011,
"np.power(epochs, 2)",0.0004,0.013,0.031,0.975,-0.025,0.025,
"np.power(n_head, 2)",0.0118,0.013,0.886,0.376,-0.014,0.038,
"np.power(rnn_layers, 2)",0.0105,0.016,0.658,0.511,-0.021,0.042,
"np.power(learning_rate, 2)",0.1096,0.017,6.363,0.0,0.076,0.144,***
"np.power(transformer_layers, 2)",-0.0357,0.016,-2.174,0.031,-0.068,-0.003,*
"np.power(window_size, 2)",-0.0134,0.015,-0.899,0.37,-0.043,0.016,
"np.power(linear_layers, 2)",-0.0048,0.019,-0.257,0.797,-0.041,0.032,
