,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,5.7306,27.479,0.209,0.835,-48.36,59.822,
source[T.Twitter],-31.7795,20.77,-1.53,0.127,-72.664,9.105,
dropout,5.7163,8.984,0.636,0.525,-11.968,23.4,
epochs,10.1676,9.805,1.037,0.301,-9.133,29.468,
learning_rate,12.9239,13.053,0.99,0.323,-12.77,38.618,
linear_layers,-3.939,10.25,-0.384,0.701,-24.116,16.238,
n_head,-11.531,11.939,-0.966,0.335,-35.032,11.97,
rnn_layers,5.9373,14.175,0.419,0.676,-21.964,33.839,
transformer_layers,-3.5368,11.684,-0.303,0.762,-26.536,19.462,
use_attention,-7.0112,8.827,-0.794,0.428,-24.386,10.364,
use_price,-12.444,8.821,-1.411,0.159,-29.808,4.92,
window_size,7.9257,8.853,0.895,0.371,-9.501,25.352,
"np.power(linear_layers, 2)",-1.2077,12.284,-0.098,0.922,-25.388,22.972,
"np.power(dropout, 2)",-5.2449,8.393,-0.625,0.533,-21.765,11.275,
"np.power(n_head, 2)",7.5439,8.826,0.855,0.393,-9.829,24.917,
"np.power(transformer_layers, 2)",2.6542,10.848,0.245,0.807,-18.7,24.008,
"np.power(epochs, 2)",-10.1764,8.375,-1.215,0.225,-26.662,6.309,
"np.power(window_size, 2)",2.1336,9.837,0.217,0.828,-17.23,21.497,
"np.power(learning_rate, 2)",21.824,11.379,1.918,0.056,-0.575,44.223,.
"np.power(rnn_layers, 2)",-3.7047,10.508,-0.353,0.725,-24.388,16.979,
