,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.3272,0.018,-18.367,0.0,-0.362,-0.292,***
source[T.Twitter],-0.0486,0.013,-3.608,0.0,-0.075,-0.022,***
dropout,-0.0007,0.006,-0.118,0.906,-0.012,0.011,
epochs,0.0309,0.006,4.858,0.0,0.018,0.043,***
learning_rate,0.0578,0.008,6.835,0.0,0.041,0.074,***
linear_layers,0.0218,0.007,3.278,0.001,0.009,0.035,**
n_head,-0.0196,0.008,-2.531,0.012,-0.035,-0.004,*
rnn_layers,0.034,0.009,3.701,0.0,0.016,0.052,***
transformer_layers,0.024,0.008,3.173,0.002,0.009,0.039,**
use_attention,0.0047,0.006,0.821,0.412,-0.007,0.016,
use_price,-0.0504,0.006,-8.813,0.0,-0.062,-0.039,***
window_size,-0.0121,0.006,-2.102,0.036,-0.023,-0.001,*
"np.power(linear_layers, 2)",-0.0139,0.008,-1.746,0.082,-0.03,0.002,.
"np.power(dropout, 2)",0.0019,0.005,0.354,0.723,-0.009,0.013,
"np.power(n_head, 2)",0.0094,0.006,1.636,0.103,-0.002,0.021,
"np.power(transformer_layers, 2)",-0.0243,0.007,-3.461,0.001,-0.038,-0.01,**
"np.power(epochs, 2)",-0.0065,0.005,-1.198,0.232,-0.017,0.004,
"np.power(window_size, 2)",0.0066,0.006,1.033,0.302,-0.006,0.019,
"np.power(learning_rate, 2)",0.0065,0.007,0.885,0.377,-0.008,0.021,
"np.power(rnn_layers, 2)",0.0142,0.007,2.085,0.038,0.001,0.028,*
